Date,Price
2023-03-02,1999
2023-05-08,1799
2023-05-15,1999
2023-06-21,1599
2023-07-13,1999
2023-08-03,1499
2023-08-17,1999
2023-09-18,1599
2023-09-25,1999
2023-10-26,1499
2023-11-07,1999
2023-11-21,1499
2023-11-29,1999
2023-12-07,1499
2024-01-05,1999
2024-01-22,1399
2024-02-05,1999
2024-03-06,1399
2024-03-13,1999
2024-03-14,1399
2024-03-21,1999
2024-04-01,1889
2024-04-15,1999
2024-04-15,1399
2024-04-29,1999
2024-06-13,1299
2024-07-11,1999
2024-07-29,1754
2024-08-05,1999
2024-08-08,1299
2024-08-22,1999
2024-09-16,1289
2024-09-30,1999
2024-10-21,1199
2024-11-04,1289
2024-11-14,1999
2024-11-27,1199
2024-12-05,1999
2024-12-05,999
2025-01-03,1999
2025-01-13,1289
2025-01-27,1999
2025-02-27,999
2025-03-20,1999
2025-04-14,999
2025-04-28,1289
2025-05-12,1999
2025-06-12,999
2025-06-27,999
2025-07-10,1999
2025-08-11,1074
2025-08-25,1999
2025-08-28,999
2025-09-11,1999
2025-09-24,1074
2025-09-29,999
2025-10-06,1999
2025-10-20,799
2025-11-03,1889
2025-11-17,1999
2025-11-25,859
2025-12-04,799
2026-01-05,1574
2026-01-19,799
2026-02-02,1999
2026-03-05,799
2026-03-26,1999
2026-04-20,799
2026-04-29,799
