Date,Price
2017-02-25,479
2017-06-23,316
2017-07-05,479
2017-08-03,316
2017-08-08,479
2017-10-26,316
2017-10-26,479
2017-10-27,316
2017-11-01,479
2017-11-23,316
2017-11-28,479
2017-12-07,316
2017-12-09,479
2017-12-22,316
2018-01-05,479
2018-02-15,316
2018-02-20,479
2018-03-20,316
2018-03-22,479
2018-03-31,316
2018-04-02,479
2018-04-12,316
2018-04-16,479
2018-06-22,316
2018-07-05,479
2018-08-23,316
2018-08-27,479
2018-10-29,316
2018-11-01,479
2018-11-22,316
2018-11-28,479
2018-12-21,316
2019-01-04,479
2019-01-25,316
2019-01-28,479
2019-02-05,316
2019-02-12,479
2019-06-26,287
2019-07-10,479
2019-10-28,239
2019-11-01,479
2019-12-19,239
2020-01-02,479
2020-01-23,239
2020-01-28,479
2020-04-28,239
2020-05-01,479
2020-06-25,239
2020-07-09,479
2020-08-09,239
2020-08-15,479
2020-10-29,239
2020-11-03,479
2020-11-25,239
2020-12-02,479
2020-12-22,239
2021-01-06,479
2021-06-24,239
2021-07-08,479
2021-08-07,239
2021-08-14,479
2021-10-28,239
2021-11-01,479
2021-11-24,239
2021-12-01,479
2021-12-22,239
2021-12-22,239
2022-01-05,479
2022-01-27,239
2022-02-03,479
2022-02-21,239
2022-02-25,479
2022-05-02,191
2022-05-09,479
2022-06-23,239
2022-07-07,479
2022-10-25,239
2022-11-01,479
2022-11-22,239
2022-11-29,479
2022-12-22,239
2023-01-05,479
2023-02-01,690
2023-03-16,345
2023-03-23,690
2023-06-29,345
2023-07-13,690
2023-10-26,345
2023-11-02,690
2023-11-21,345
2023-11-28,690
2023-12-21,345
2024-01-04,690
2024-03-14,345
2024-03-21,690
2024-06-27,345
2024-07-11,690
2024-10-28,345
2024-11-04,690
2024-11-27,345
2024-12-04,690
2024-12-20,345
2025-01-03,690
2025-01-09,345
2025-01-16,690
2025-03-13,345
2025-03-20,690
2025-06-26,345
2025-06-27,345
2025-07-10,690
2025-08-25,345
2025-09-01,690
2025-10-27,345
2025-11-03,690
2025-12-18,345
2026-01-05,690
2026-03-19,345
2026-03-26,690
2026-04-29,690
