Date,Positive_Reviews,Negative_Reviews,Top_Tags
2024-03-01,1402,5167,Action|Space|Sci-fi|FPS|Shooter
2024-04-01,60,185,Action|Space|Sci-fi|FPS|Shooter
2024-05-01,18,93,Action|Space|Sci-fi|FPS|Shooter
2024-06-01,29,39,Action|Space|Sci-fi|FPS|Shooter
2024-07-01,29,33,Action|Space|Sci-fi|FPS|Shooter
2024-08-01,14,15,Action|Space|Sci-fi|FPS|Shooter
2024-09-01,10,9,Action|Space|Sci-fi|FPS|Shooter
2024-10-01,5,10,Action|Space|Sci-fi|FPS|Shooter
2024-11-01,28,11,Action|Space|Sci-fi|FPS|Shooter
2024-12-01,17,15,Action|Space|Sci-fi|FPS|Shooter
2025-01-01,10,8,Action|Space|Sci-fi|FPS|Shooter
2025-02-01,10,9,Action|Space|Sci-fi|FPS|Shooter
2025-03-01,11,15,Action|Space|Sci-fi|FPS|Shooter
2025-04-01,7,11,Action|Space|Sci-fi|FPS|Shooter
2025-05-01,24,11,Action|Space|Sci-fi|FPS|Shooter
2025-06-01,15,5,Action|Space|Sci-fi|FPS|Shooter
2025-07-01,19,10,Action|Space|Sci-fi|FPS|Shooter
2025-08-01,12,7,Action|Space|Sci-fi|FPS|Shooter
2025-09-01,10,3,Action|Space|Sci-fi|FPS|Shooter
2025-10-01,5,2,Action|Space|Sci-fi|FPS|Shooter
2025-11-01,6,4,Action|Space|Sci-fi|FPS|Shooter
2025-12-01,7,5,Action|Space|Sci-fi|FPS|Shooter
2026-01-01,10,4,Action|Space|Sci-fi|FPS|Shooter
2026-02-01,5,3,Action|Space|Sci-fi|FPS|Shooter
2026-03-01,5,5,Action|Space|Sci-fi|FPS|Shooter
2026-04-01,8,3,Action|Space|Sci-fi|FPS|Shooter
