Date,Positive_Reviews,Negative_Reviews,Top_Tags
2013-10-01,9,6,Simulation|Space|Base-Building|Sci-fi|Strategy
2013-11-01,23,9,Simulation|Space|Base-Building|Sci-fi|Strategy
2013-12-01,42,26,Simulation|Space|Base-Building|Sci-fi|Strategy
2014-01-01,38,24,Simulation|Space|Base-Building|Sci-fi|Strategy
2014-02-01,18,6,Simulation|Space|Base-Building|Sci-fi|Strategy
2014-03-01,19,14,Simulation|Space|Base-Building|Sci-fi|Strategy
2014-04-01,9,5,Simulation|Space|Base-Building|Sci-fi|Strategy
2014-05-01,26,23,Simulation|Space|Base-Building|Sci-fi|Strategy
2014-06-01,27,27,Simulation|Space|Base-Building|Sci-fi|Strategy
2014-07-01,20,21,Simulation|Space|Base-Building|Sci-fi|Strategy
2014-08-01,11,14,Simulation|Space|Base-Building|Sci-fi|Strategy
2014-09-01,58,387,Simulation|Space|Base-Building|Sci-fi|Strategy
2014-10-01,19,334,Simulation|Space|Base-Building|Sci-fi|Strategy
2014-11-01,22,118,Simulation|Space|Base-Building|Sci-fi|Strategy
2014-12-01,22,198,Simulation|Space|Base-Building|Sci-fi|Strategy
2015-01-01,15,72,Simulation|Space|Base-Building|Sci-fi|Strategy
2015-02-01,9,62,Simulation|Space|Base-Building|Sci-fi|Strategy
2015-03-01,4,48,Simulation|Space|Base-Building|Sci-fi|Strategy
2015-04-01,3,46,Simulation|Space|Base-Building|Sci-fi|Strategy
2015-05-01,2,40,Simulation|Space|Base-Building|Sci-fi|Strategy
2015-06-01,6,46,Simulation|Space|Base-Building|Sci-fi|Strategy
2015-07-01,2,32,Simulation|Space|Base-Building|Sci-fi|Strategy
2015-08-01,5,27,Simulation|Space|Base-Building|Sci-fi|Strategy
2015-09-01,2,28,Simulation|Space|Base-Building|Sci-fi|Strategy
2015-10-01,4,27,Simulation|Space|Base-Building|Sci-fi|Strategy
2015-11-01,6,37,Simulation|Space|Base-Building|Sci-fi|Strategy
2015-12-01,6,59,Simulation|Space|Base-Building|Sci-fi|Strategy
2016-01-01,13,50,Simulation|Space|Base-Building|Sci-fi|Strategy
2016-02-01,4,16,Simulation|Space|Base-Building|Sci-fi|Strategy
2016-03-01,3,20,Simulation|Space|Base-Building|Sci-fi|Strategy
2016-04-01,2,20,Simulation|Space|Base-Building|Sci-fi|Strategy
2016-05-01,4,27,Simulation|Space|Base-Building|Sci-fi|Strategy
2016-06-01,7,26,Simulation|Space|Base-Building|Sci-fi|Strategy
2016-07-01,3,31,Simulation|Space|Base-Building|Sci-fi|Strategy
2016-08-01,2,29,Simulation|Space|Base-Building|Sci-fi|Strategy
2016-09-01,2,24,Simulation|Space|Base-Building|Sci-fi|Strategy
2016-10-01,3,23,Simulation|Space|Base-Building|Sci-fi|Strategy
2016-11-01,9,25,Simulation|Space|Base-Building|Sci-fi|Strategy
2016-12-01,7,25,Simulation|Space|Base-Building|Sci-fi|Strategy
2017-01-01,3,23,Simulation|Space|Base-Building|Sci-fi|Strategy
2017-02-01,3,13,Simulation|Space|Base-Building|Sci-fi|Strategy
2017-03-01,3,15,Simulation|Space|Base-Building|Sci-fi|Strategy
2017-04-01,2,14,Simulation|Space|Base-Building|Sci-fi|Strategy
2017-05-01,1,11,Simulation|Space|Base-Building|Sci-fi|Strategy
2017-06-01,4,22,Simulation|Space|Base-Building|Sci-fi|Strategy
2017-07-01,3,20,Simulation|Space|Base-Building|Sci-fi|Strategy
2017-08-01,1,20,Simulation|Space|Base-Building|Sci-fi|Strategy
2017-09-01,6,13,Simulation|Space|Base-Building|Sci-fi|Strategy
2017-10-01,4,9,Simulation|Space|Base-Building|Sci-fi|Strategy
2017-11-01,5,25,Simulation|Space|Base-Building|Sci-fi|Strategy
2017-12-01,5,14,Simulation|Space|Base-Building|Sci-fi|Strategy
2018-01-01,2,23,Simulation|Space|Base-Building|Sci-fi|Strategy
2018-02-01,1,17,Simulation|Space|Base-Building|Sci-fi|Strategy
2018-03-01,3,7,Simulation|Space|Base-Building|Sci-fi|Strategy
2018-04-01,3,5,Simulation|Space|Base-Building|Sci-fi|Strategy
2018-05-01,2,14,Simulation|Space|Base-Building|Sci-fi|Strategy
2018-06-01,2,14,Simulation|Space|Base-Building|Sci-fi|Strategy
2018-07-01,6,43,Simulation|Space|Base-Building|Sci-fi|Strategy
2018-08-01,1,10,Simulation|Space|Base-Building|Sci-fi|Strategy
2018-09-01,3,7,Simulation|Space|Base-Building|Sci-fi|Strategy
2018-10-01,0,8,Simulation|Space|Base-Building|Sci-fi|Strategy
2018-11-01,4,8,Simulation|Space|Base-Building|Sci-fi|Strategy
2018-12-01,2,10,Simulation|Space|Base-Building|Sci-fi|Strategy
2019-01-01,0,6,Simulation|Space|Base-Building|Sci-fi|Strategy
2019-02-01,2,8,Simulation|Space|Base-Building|Sci-fi|Strategy
2019-03-01,0,4,Simulation|Space|Base-Building|Sci-fi|Strategy
2019-04-01,1,7,Simulation|Space|Base-Building|Sci-fi|Strategy
2019-05-01,1,10,Simulation|Space|Base-Building|Sci-fi|Strategy
2019-06-01,3,20,Simulation|Space|Base-Building|Sci-fi|Strategy
2019-07-01,8,12,Simulation|Space|Base-Building|Sci-fi|Strategy
2019-08-01,0,5,Simulation|Space|Base-Building|Sci-fi|Strategy
2019-09-01,1,4,Simulation|Space|Base-Building|Sci-fi|Strategy
2019-10-01,1,5,Simulation|Space|Base-Building|Sci-fi|Strategy
2019-11-01,4,6,Simulation|Space|Base-Building|Sci-fi|Strategy
2019-12-01,4,5,Simulation|Space|Base-Building|Sci-fi|Strategy
2020-01-01,2,14,Simulation|Space|Base-Building|Sci-fi|Strategy
2020-02-01,4,7,Simulation|Space|Base-Building|Sci-fi|Strategy
2020-03-01,1,3,Simulation|Space|Base-Building|Sci-fi|Strategy
2020-04-01,4,9,Simulation|Space|Base-Building|Sci-fi|Strategy
2020-05-01,0,13,Simulation|Space|Base-Building|Sci-fi|Strategy
2020-06-01,0,10,Simulation|Space|Base-Building|Sci-fi|Strategy
2020-07-01,1,4,Simulation|Space|Base-Building|Sci-fi|Strategy
2020-08-01,0,2,Simulation|Space|Base-Building|Sci-fi|Strategy
2020-09-01,1,3,Simulation|Space|Base-Building|Sci-fi|Strategy
2020-10-01,1,1,Simulation|Space|Base-Building|Sci-fi|Strategy
2020-11-01,3,19,Simulation|Space|Base-Building|Sci-fi|Strategy
2020-12-01,0,4,Simulation|Space|Base-Building|Sci-fi|Strategy
2021-01-01,0,6,Simulation|Space|Base-Building|Sci-fi|Strategy
2021-02-01,1,3,Simulation|Space|Base-Building|Sci-fi|Strategy
2021-03-01,0,5,Simulation|Space|Base-Building|Sci-fi|Strategy
2021-04-01,0,5,Simulation|Space|Base-Building|Sci-fi|Strategy
2021-05-01,1,7,Simulation|Space|Base-Building|Sci-fi|Strategy
2021-06-01,1,9,Simulation|Space|Base-Building|Sci-fi|Strategy
2021-07-01,0,2,Simulation|Space|Base-Building|Sci-fi|Strategy
2021-08-01,2,5,Simulation|Space|Base-Building|Sci-fi|Strategy
2021-09-01,1,5,Simulation|Space|Base-Building|Sci-fi|Strategy
2021-10-01,0,5,Simulation|Space|Base-Building|Sci-fi|Strategy
2021-11-01,0,5,Simulation|Space|Base-Building|Sci-fi|Strategy
2021-12-01,0,3,Simulation|Space|Base-Building|Sci-fi|Strategy
2022-01-01,1,5,Simulation|Space|Base-Building|Sci-fi|Strategy
2022-02-01,0,3,Simulation|Space|Base-Building|Sci-fi|Strategy
2022-03-01,0,1,Simulation|Space|Base-Building|Sci-fi|Strategy
2022-04-01,0,1,Simulation|Space|Base-Building|Sci-fi|Strategy
2022-06-01,0,5,Simulation|Space|Base-Building|Sci-fi|Strategy
2022-07-01,0,5,Simulation|Space|Base-Building|Sci-fi|Strategy
2022-08-01,1,3,Simulation|Space|Base-Building|Sci-fi|Strategy
2022-09-01,0,1,Simulation|Space|Base-Building|Sci-fi|Strategy
2022-10-01,1,8,Simulation|Space|Base-Building|Sci-fi|Strategy
2022-11-01,2,5,Simulation|Space|Base-Building|Sci-fi|Strategy
2022-12-01,1,2,Simulation|Space|Base-Building|Sci-fi|Strategy
2023-01-01,0,3,Simulation|Space|Base-Building|Sci-fi|Strategy
2023-02-01,0,4,Simulation|Space|Base-Building|Sci-fi|Strategy
2023-03-01,0,4,Simulation|Space|Base-Building|Sci-fi|Strategy
2023-04-01,2,2,Simulation|Space|Base-Building|Sci-fi|Strategy
2023-05-01,3,3,Simulation|Space|Base-Building|Sci-fi|Strategy
2023-06-01,0,1,Simulation|Space|Base-Building|Sci-fi|Strategy
2023-07-01,1,4,Simulation|Space|Base-Building|Sci-fi|Strategy
2023-08-01,1,3,Simulation|Space|Base-Building|Sci-fi|Strategy
2023-09-01,1,4,Simulation|Space|Base-Building|Sci-fi|Strategy
2023-10-01,0,6,Simulation|Space|Base-Building|Sci-fi|Strategy
2023-11-01,1,3,Simulation|Space|Base-Building|Sci-fi|Strategy
2023-12-01,0,3,Simulation|Space|Base-Building|Sci-fi|Strategy
2024-01-01,0,5,Simulation|Space|Base-Building|Sci-fi|Strategy
2024-02-01,1,3,Simulation|Space|Base-Building|Sci-fi|Strategy
2024-03-01,0,1,Simulation|Space|Base-Building|Sci-fi|Strategy
2024-04-01,1,4,Simulation|Space|Base-Building|Sci-fi|Strategy
2024-05-01,0,5,Simulation|Space|Base-Building|Sci-fi|Strategy
2024-06-01,0,4,Simulation|Space|Base-Building|Sci-fi|Strategy
2024-07-01,0,0,Simulation|Space|Base-Building|Sci-fi|Strategy
2024-08-01,1,3,Simulation|Space|Base-Building|Sci-fi|Strategy
2024-09-01,1,2,Simulation|Space|Base-Building|Sci-fi|Strategy
2024-10-01,0,1,Simulation|Space|Base-Building|Sci-fi|Strategy
2024-11-01,1,3,Simulation|Space|Base-Building|Sci-fi|Strategy
