Date,Price
2015-11-04,369
2015-11-25,36
2015-12-01,369
2015-12-23,36
2016-01-05,369
2016-02-06,92
2016-02-13,369
2016-06-24,36
2016-07-04,369
2016-11-25,36
2016-12-02,369
2016-12-23,36
2017-01-02,369
2017-06-23,36
2017-07-05,369
2017-11-23,37
2017-11-28,369
2017-12-22,37
2018-01-05,369
2018-02-15,92
2018-02-20,369
2018-06-22,55
2018-07-05,369
2018-07-19,55
2018-07-23,369
2018-10-29,92
2018-11-02,369
2018-11-22,73
2018-11-28,119
2018-11-28,369
2018-12-21,92
2019-01-04,369
2019-02-05,92
2019-02-12,369
2019-06-26,55
2019-07-10,369
2019-07-18,55
2019-07-22,369
2019-10-28,92
2019-10-28,369
2019-10-29,92
2019-11-01,369
2019-11-27,129
2019-12-03,369
2019-12-19,92
2020-01-02,369
2020-01-23,92
2020-01-27,369
2020-02-11,95
2020-02-15,369
2020-04-02,184
2020-04-06,369
2020-06-25,184
2020-07-09,369
2020-10-29,184
2020-11-03,369
2020-11-03,184
2020-11-10,369
2020-11-25,184
2020-12-01,369
2020-12-23,184
2021-01-06,369
2021-04-08,184
2021-04-12,369
2021-06-24,184
2021-07-08,369
2021-11-24,184
2021-12-02,369
2021-12-22,184
2022-01-06,369
2022-01-27,184
2022-02-03,369
2022-06-23,92
2022-06-23,92
2022-06-24,92
2022-06-29,92
2022-07-07,369
2022-11-22,92
2022-11-29,369
2022-12-22,110
2023-01-05,369
2023-01-17,125
2023-01-31,369
2023-03-16,110
2023-03-23,369
2023-04-20,110
2023-05-04,369
2023-06-08,110
2023-06-22,369
2023-06-29,92
2023-07-13,369
2023-11-21,118
2023-11-28,369
2023-12-22,110
2024-01-05,369
2024-03-14,92
2024-03-21,369
2024-06-09,92
2024-06-23,369
2024-06-27,92
2024-07-11,369
2024-09-20,129
2024-09-27,369
2024-11-27,73
2024-12-04,369
2024-12-20,92
2025-01-03,369
2025-01-20,147
2025-02-03,369
2025-03-13,73
2025-03-20,369
2025-04-24,121
2025-05-08,369
2025-06-27,73
2025-07-10,369
2025-09-29,73
2025-10-06,369
2025-10-29,92
2025-11-03,369
2025-11-21,95
2025-12-03,369
2025-12-19,55
2026-01-05,369
2026-03-19,73
2026-03-26,369
2026-04-16,73
2026-04-29,73
