Date,Positive_Reviews,Negative_Reviews,Top_Tags
2023-06-01,554,267,FPS|Action|Online Co-Op|PvE|Shooter
2023-07-01,197,81,FPS|Action|Online Co-Op|PvE|Shooter
2023-08-01,48,33,FPS|Action|Online Co-Op|PvE|Shooter
2023-09-01,81,42,FPS|Action|Online Co-Op|PvE|Shooter
2023-10-01,69,22,FPS|Action|Online Co-Op|PvE|Shooter
2023-11-01,212,56,FPS|Action|Online Co-Op|PvE|Shooter
2023-12-01,35,46,FPS|Action|Online Co-Op|PvE|Shooter
2024-01-01,54,43,FPS|Action|Online Co-Op|PvE|Shooter
2024-02-01,56,38,FPS|Action|Online Co-Op|PvE|Shooter
2024-03-01,65,36,FPS|Action|Online Co-Op|PvE|Shooter
2024-04-01,42,32,FPS|Action|Online Co-Op|PvE|Shooter
2024-05-01,38,18,FPS|Action|Online Co-Op|PvE|Shooter
2024-06-01,37,23,FPS|Action|Online Co-Op|PvE|Shooter
2024-07-01,65,34,FPS|Action|Online Co-Op|PvE|Shooter
2024-08-01,27,20,FPS|Action|Online Co-Op|PvE|Shooter
2024-09-01,25,15,FPS|Action|Online Co-Op|PvE|Shooter
2024-10-01,11,9,FPS|Action|Online Co-Op|PvE|Shooter
2024-11-01,26,16,FPS|Action|Online Co-Op|PvE|Shooter
2024-12-01,23,15,FPS|Action|Online Co-Op|PvE|Shooter
2025-01-01,20,15,FPS|Action|Online Co-Op|PvE|Shooter
2025-02-01,21,8,FPS|Action|Online Co-Op|PvE|Shooter
2025-03-01,53,19,FPS|Action|Online Co-Op|PvE|Shooter
2025-04-01,14,6,FPS|Action|Online Co-Op|PvE|Shooter
2025-05-01,30,10,FPS|Action|Online Co-Op|PvE|Shooter
2025-06-01,22,8,FPS|Action|Online Co-Op|PvE|Shooter
2025-07-01,23,11,FPS|Action|Online Co-Op|PvE|Shooter
2025-08-01,15,11,FPS|Action|Online Co-Op|PvE|Shooter
2025-09-01,10,2,FPS|Action|Online Co-Op|PvE|Shooter
2025-10-01,17,4,FPS|Action|Online Co-Op|PvE|Shooter
2025-11-01,19,10,FPS|Action|Online Co-Op|PvE|Shooter
2025-12-01,16,5,FPS|Action|Online Co-Op|PvE|Shooter
2026-01-01,12,10,FPS|Action|Online Co-Op|PvE|Shooter
2026-02-01,20,8,FPS|Action|Online Co-Op|PvE|Shooter
2026-03-01,27,20,FPS|Action|Online Co-Op|PvE|Shooter
2026-04-01,4,7,FPS|Action|Online Co-Op|PvE|Shooter
