Date,Positive_Reviews,Negative_Reviews,Top_Tags
2021-12-01,10,1,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2022-01-01,18230,169,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2022-02-01,34188,461,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2022-03-01,13754,166,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2022-04-01,18713,206,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2022-05-01,11360,158,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2022-06-01,7542,130,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2022-07-01,5944,91,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2022-08-01,4613,81,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2022-09-01,3593,92,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2022-10-01,7065,190,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2022-11-01,32806,206,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2022-12-01,8251,207,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2023-01-01,7969,154,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2023-02-01,4475,119,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2023-03-01,3098,88,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2023-04-01,5020,157,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2023-05-01,2346,66,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2023-06-01,2178,63,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2023-07-01,2941,83,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2023-08-01,4242,170,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2023-09-01,2729,67,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2023-10-01,3320,85,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2023-11-01,5173,89,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2023-12-01,3403,109,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2024-01-01,2722,83,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2024-02-01,1530,44,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2024-03-01,1904,59,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2024-04-01,1566,45,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2024-05-01,2040,64,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2024-06-01,1209,39,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2024-07-01,1556,64,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2024-08-01,1536,65,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2024-09-01,1149,38,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2024-10-01,1494,51,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2024-11-01,4992,65,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2024-12-01,2570,65,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2025-01-01,1405,46,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2025-02-01,1039,35,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2025-03-01,1229,44,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2025-04-01,1398,52,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2025-05-01,953,34,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2025-06-01,999,33,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2025-07-01,1074,32,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2025-08-01,810,24,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2025-09-01,825,31,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2025-10-01,1715,119,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2025-11-01,2005,98,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2025-12-01,1243,45,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2026-01-01,1038,66,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2026-02-01,845,43,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2026-03-01,794,35,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
2026-04-01,855,49,Action Roguelike|Bullet Hell|Pixel Graphics|Rogue-lite|Vampire
