Date,Price
2021-12-17,112
2021-12-24,125
2022-04-11,112
2022-04-15,125
2022-05-04,125
2022-09-22,249
2022-10-20,199
2022-10-20,249
2022-10-20,199
2022-11-01,249
2022-11-22,211
2022-11-29,249
2022-12-05,199
2022-12-12,249
2022-12-22,199
2023-01-05,249
2023-02-08,199
2023-02-22,249
2023-03-16,199
2023-03-23,249
2023-04-13,199
2023-04-27,249
2023-05-27,199
2023-06-10,249
2023-06-29,186
2023-07-13,249
2023-08-17,186
2023-08-31,249
2023-10-01,174
2023-10-15,249
2023-11-21,186
2023-11-29,249
2023-12-21,187
2024-01-05,249
2024-02-12,211
2024-02-19,249
2024-03-14,199
2024-03-21,249
2024-04-10,199
2024-04-15,249
2024-06-27,186
2024-07-11,249
2024-08-08,186
2024-08-15,249
2024-10-21,186
2024-11-04,249
2024-11-28,186
2024-12-05,249
2024-12-20,174
2025-01-03,249
2025-02-10,186
2025-02-17,249
2025-03-13,186
2025-03-20,249
2025-04-08,199
2025-04-15,249
2025-05-26,199
2025-06-02,249
2025-06-26,186
2025-06-27,186
2025-07-10,249
2025-07-16,199
2025-07-21,249
2025-09-29,186
2025-10-06,249
2025-10-21,174
2025-11-04,249
2025-12-18,186
2026-01-06,249
2026-02-09,199
2026-02-23,249
2026-03-19,186
2026-03-26,249
2026-04-20,174
2026-04-27,249
2026-04-29,249
