Date,Price
2024-09-06,41990
2024-09-10,40990
2024-09-11,40990
2024-09-12,40990
2024-09-14,40990
2024-09-15,40990
2024-09-16,40990
2024-09-17,40990
2024-09-18,40990
2024-09-19,36990
2024-09-20,36990
2024-09-21,36990
2024-09-22,36990
2024-09-23,36990
2024-09-24,35990
2024-09-25,33990
2024-09-26,33990
2024-09-27,33990
2024-09-28,33990
2024-09-29,32990
2024-09-30,32990
2024-10-01,32990
2024-10-02,32990
2024-10-03,32990
2024-10-04,33990
2024-10-05,33990
2024-10-06,32990
2024-10-07,32990
2024-10-08,40990
2024-10-09,35990
2024-10-10,35990
2024-10-11,35990
2024-10-12,35980
2024-10-13,35980
2024-10-14,35980
2024-10-15,35980
2024-10-16,35980
2024-10-17,35980
2024-10-20,35980
2024-10-21,35980
2024-10-22,33599
2024-10-23,33599
2024-10-24,33599
2024-10-25,33599
2024-10-26,33599
2024-10-27,33599
2024-10-28,33599
2024-10-29,33599
2024-10-30,33599
2024-10-31,33599
2024-11-01,33599
2024-11-02,33599
2024-11-03,33599
2024-11-04,33599
2024-11-05,33599
2024-11-09,33599
2024-11-11,33599
2024-11-12,33599
2024-11-13,33599
2024-11-14,33599
2024-11-15,33599
2024-11-16,35880
2024-11-19,35880
2024-11-20,35880
2024-11-21,35880
2024-11-22,35499
2024-11-23,35499
2024-11-24,35499
2024-11-30,35199
2024-12-04,35199
2024-12-08,33725
2024-12-09,33725
2024-12-10,33725
2024-12-12,33725
2024-12-16,33725
2024-12-17,33725
2024-12-21,36490
2024-12-25,33725
2024-12-28,33725
2024-12-30,33725
2025-01-02,33725
2025-01-06,33725
2025-01-09,37725
2025-01-12,34990
2025-01-13,32890
2025-01-14,32690
2025-01-15,32490
2025-01-16,32490
2025-01-17,32490
2025-01-18,32490
2025-01-19,32490
2025-01-20,32490
2025-01-21,32990
2025-01-22,32990
2025-01-23,32990
2025-01-24,32990
2025-01-25,32900
2025-01-26,32900
2025-01-27,32790
2025-01-28,34490
2025-01-29,34800
2025-01-30,34990
2025-01-31,35800
2025-02-01,36990
2025-02-02,35990
2025-02-03,35990
2025-02-04,35990
2025-02-05,35990
2025-02-06,35990
2025-02-07,35990
2025-02-08,35990
2025-02-09,35990
2025-02-10,35990
2025-02-11,37949
2025-02-12,37690
2025-02-13,37690
2025-02-14,36990
2025-02-15,36990
2025-02-16,36990
2025-02-17,36990
2025-02-18,36990
2025-02-19,36990
2025-02-20,36990
2025-02-21,36990
2025-02-22,37690
2025-02-23,36990
2025-02-24,36990
2025-02-26,38980
2025-02-27,38980
2025-02-28,37400
2025-03-01,36090
2025-03-02,37400
2025-03-03,37400
2025-03-06,36990
2025-03-07,36990
2025-03-08,35334
2025-03-10,36990
2025-03-11,36990
2025-03-12,36990
2025-03-13,36990
2025-03-15,36990
2025-03-16,37990
2025-03-18,39990
2025-03-19,39990
2025-03-20,39990
2025-03-21,36990
2025-03-22,36949
2025-03-23,36949
2025-03-25,36949
2025-03-26,35800
2025-03-27,35800
2025-03-28,35800
2025-03-29,35800
2025-03-31,35700
2025-04-01,36490
2025-04-02,36490
2025-04-03,36190
2025-04-05,36190
2025-04-07,36190
2025-04-08,36190
2025-04-10,36190
2025-04-11,36190
2025-04-15,36190
2025-04-16,35890
2025-04-17,35289
2025-04-18,35289
2025-04-19,35289
2025-04-20,34899
2025-04-22,35290
2025-04-23,35290
2025-04-24,35950
2025-04-26,35950
2025-04-27,35950
2025-04-28,35990
2025-04-29,35990
2025-04-30,35699
2025-05-01,36490
2025-05-02,35990
2025-05-05,35780
2025-05-07,35780
2025-05-11,35780
2025-05-14,34799
2025-05-16,36190
2025-05-19,36190
2025-05-22,36190
2025-05-23,35990
2025-05-24,35990
2025-05-25,36190
2025-05-27,36190
2025-05-28,36190
2025-05-31,36190
2025-06-01,36190
2025-06-03,36190
2025-06-04,36190
