Date,Price
2025-05-09,54990
2025-05-11,54990
2025-05-14,57889
2025-05-15,57889
2025-05-16,57889
2025-05-17,54990
2025-05-21,54990
2025-05-22,54990
2025-05-23,54990
2025-05-26,54990
2025-05-29,57889
2025-05-30,57889
2025-05-31,57889
2025-06-01,54990
2025-06-02,54990
2025-06-03,54987
2025-06-04,54987
2025-06-05,54987
2025-06-07,54990
2025-06-08,54990
2025-06-10,54990
2025-06-11,54990
2025-06-13,54990
2025-06-14,54990
2025-06-16,57889
2025-06-19,57889
2025-06-20,59507
2025-06-22,56990
2025-06-23,56990
2025-06-26,56990
2025-06-27,56990
2025-06-28,56990
2025-06-29,56990
2025-07-01,57590
2025-07-02,54990
2025-07-03,54990
2025-07-05,54990
2025-07-06,54990
2025-07-08,54990
2025-07-10,54990
2025-07-11,53990
2025-07-12,53990
2025-07-13,53990
2025-07-14,53990
2025-07-15,53990
2025-07-16,55990
2025-07-17,61990
2025-07-19,61990
2025-07-21,55990
2025-07-22,55990
2025-07-24,55990
2025-07-25,55990
2025-07-26,55990
2025-07-27,55990
2025-07-28,55990
2025-07-29,59990
2025-07-31,53990
2025-08-01,53989
2025-08-02,53989
2025-08-03,53989
2025-08-05,53989
2025-08-06,53199
2025-08-07,53989
2025-08-08,53989
2025-08-09,53099
2025-08-10,53099
2025-08-11,53099
2025-08-12,53099
2025-08-13,53890
2025-08-14,53890
2025-08-15,53890
2025-08-16,53989
2025-08-17,53989
2025-08-18,56890
2025-08-19,56890
2025-08-20,56890
2025-08-21,59990
2025-08-22,59990
2025-08-23,53990
2025-08-24,53990
2025-08-25,53990
2025-08-26,53990
2025-08-27,55990
2025-08-28,53990
2025-08-29,53990
2025-08-30,53990
2025-08-31,53990
2025-09-01,53990
2025-09-03,57614
2025-09-04,57614
2025-09-05,57614
2025-09-06,57399
2025-09-07,57399
2025-09-08,52990
2025-09-09,51990
2025-09-10,51990
2025-09-11,52990
2025-09-12,52990
2025-09-13,52990
2025-09-14,52990
2025-09-15,52990
2025-09-16,52990
2025-09-17,52990
2025-09-18,52990
2025-09-19,52990
2025-09-20,52990
2025-09-21,51990
2025-09-22,52800
2025-09-23,51990
2025-09-24,51990
2025-09-25,51990
2025-09-26,51990
2025-09-27,50990
2025-09-28,50990
2025-09-29,51990
2025-09-30,51990
2025-10-01,51990
2025-10-02,51990
2025-10-03,51990
2025-10-05,50990
2025-10-06,51990
2025-10-07,50990
2025-10-08,50990
2025-10-10,50590
2025-10-11,50590
2025-10-12,51990
2025-10-13,51985
2025-10-14,51985
2025-10-15,51985
2025-10-16,51985
2025-10-17,51240
2025-10-18,51240
2025-10-19,51240
2025-10-21,51240
2025-10-22,51240
2025-10-23,51240
2025-10-24,51240
2025-10-25,51240
2025-10-26,51240
2025-10-27,51189
2025-10-28,51189
2025-10-29,51189
2025-10-30,51189
2025-10-31,51189
2025-11-01,51189
2025-11-02,51999
2025-11-03,51999
2025-11-04,54790
2025-11-05,54790
2025-11-06,52590
2025-11-07,54790
2025-11-08,54790
2025-11-09,54785
2025-11-10,51999
2025-11-11,51999
2025-11-12,51999
2025-11-13,51189
2025-11-14,51189
2025-11-15,51189
2025-11-16,54990
2025-11-17,54590
2025-11-18,54590
2025-11-19,54590
2025-11-20,54590
2025-11-21,54990
2025-11-22,54990
2025-11-23,54990
2025-11-24,54990
2025-11-25,54990
2025-11-26,54990
2025-11-27,54990
2025-11-28,54990
2025-11-29,54990
2025-11-30,54990
2025-12-01,55990
2025-12-02,55990
2025-12-03,55990
2025-12-04,55990
2025-12-05,55785
2025-12-06,55785
2025-12-07,55785
2025-12-08,54189
2025-12-09,55461
2025-12-10,55461
2025-12-11,55461
2025-12-12,52847
2025-12-13,52847
2025-12-14,52847
2025-12-15,52847
2025-12-17,52539
2025-12-18,52539
2025-12-19,52539
2025-12-20,52539
2025-12-21,52539
2025-12-22,54590
2025-12-23,54590
2025-12-24,54680
2025-12-25,54680
2025-12-26,54699
2025-12-27,53990
2025-12-28,53990
2025-12-29,53990
2025-12-30,53990
2025-12-31,55980
2026-01-01,55980
2026-01-02,55980
2026-01-03,55999
2026-01-04,55999
2026-01-05,56980
2026-01-06,55999
2026-01-07,55890
2026-01-08,55890
2026-01-09,55890
2026-01-10,55890
2026-01-11,55890
2026-01-12,55847
2026-01-13,55847
2026-01-14,55575
2026-01-15,55575
2026-01-16,55575
2026-01-17,55575
2026-01-18,54990
2026-01-19,54990
2026-01-20,54990
2026-01-21,54990
2026-01-22,54949
2026-01-23,54949
2026-01-24,53493
2026-01-25,53493
2026-01-26,54990
2026-01-27,59235
2026-01-28,59235
2026-01-30,59235
2026-01-31,58990
2026-02-01,58990
2026-02-02,58990
2026-02-03,58990
2026-02-05,58750
2026-02-06,58750
2026-02-07,58750
2026-02-08,58390
2026-02-09,58390
2026-02-10,58390
2026-02-12,58444
2026-02-13,58444
2026-02-14,58444
2026-02-15,58444
2026-02-16,58444
2026-02-18,58444
2026-02-19,51490
2026-02-20,57847
2026-02-22,56550
2026-02-24,55761
2026-02-26,55761
2026-02-28,54800
2026-03-02,56999
2026-03-05,58389
2026-03-06,58389
2026-03-08,58389
2026-03-09,58250
2026-03-11,55761
2026-03-12,55761
2026-03-13,55761
2026-03-14,55007
2026-03-15,55007
2026-03-16,55007
2026-03-17,55007
2026-03-18,55007
2026-03-19,56761
2026-03-20,56958
2026-03-21,56761
2026-03-22,56761
2026-03-23,56761
2026-03-24,56958
2026-03-25,56958
2026-03-26,57399
