Date,Price
2025-03-09,94990
2025-03-10,95990
2025-03-12,99900
2025-03-13,99900
2025-03-14,99900
2025-03-15,99899
2025-03-16,96949
2025-03-17,98999
2025-03-18,96949
2025-03-19,98949
2025-03-20,97649
2025-03-23,99900
2025-03-24,99900
2025-03-25,99900
2025-03-26,99900
2025-03-27,99900
2025-03-30,99900
2025-03-31,99900
2025-04-01,99900
2025-04-02,99900
2025-04-03,99900
2025-04-04,99900
2025-04-05,99900
2025-04-06,99900
2025-04-08,99900
2025-04-09,99900
2025-04-10,99900
2025-04-11,99900
2025-04-12,90990
2025-04-13,96990
2025-04-14,96990
2025-04-15,96990
2025-04-16,96990
2025-04-17,91990
2025-04-18,91990
2025-04-19,91990
2025-04-20,91990
2025-04-21,92990
2025-04-22,92990
2025-04-23,92990
2025-04-25,92990
2025-04-26,99149
2025-04-27,97699
2025-04-28,94699
2025-04-29,96549
2025-04-30,95499
2025-05-01,89990
2025-05-02,89990
2025-05-03,89990
2025-05-04,89990
2025-05-05,89990
2025-05-06,87490
2025-05-07,87490
2025-05-08,85990
2025-05-09,85990
2025-05-10,91990
2025-05-11,91990
2025-05-12,91990
2025-05-13,91990
2025-05-14,93990
2025-05-15,93990
2025-05-16,93990
2025-05-17,93990
2025-05-18,93990
2025-05-19,93990
2025-05-20,93990
2025-05-21,93990
2025-05-22,93990
2025-05-23,91990
2025-05-24,91990
2025-05-25,94990
2025-05-26,95990
2025-05-27,95990
2025-05-28,95990
2025-05-29,95990
2025-05-30,95990
2025-05-31,95990
2025-06-01,95990
2025-06-02,95990
2025-06-03,95990
2025-06-04,95990
2025-06-05,95990
2025-06-06,95990
2025-06-07,95990
2025-06-08,95990
2025-06-09,95990
2025-06-10,95990
2025-06-11,95990
2025-06-12,93990
2025-06-13,92990
2025-06-14,91190
2025-06-15,93990
2025-06-16,93990
2025-06-17,93990
2025-06-18,93990
2025-06-19,95990
2025-06-20,95990
2025-06-21,95990
2025-06-22,95990
2025-06-23,95990
2025-06-24,95990
2025-06-25,91990
2025-06-26,95990
2025-06-27,90490
2025-06-28,90490
2025-06-29,95990
2025-06-30,95990
2025-07-01,95990
2025-07-02,95990
2025-07-03,95990
2025-07-04,95990
2025-07-05,95990
2025-07-06,95990
2025-07-07,91200
2025-07-08,95990
2025-07-09,91200
2025-07-10,91200
2025-07-11,91990
2025-07-12,91990
2025-07-13,87990
2025-07-14,87990
2025-07-15,91990
2025-07-16,91990
2025-07-17,94990
2025-07-18,94990
2025-07-19,94990
2025-07-20,94990
2025-07-21,94990
2025-07-22,94990
2025-07-23,94990
2025-07-24,94990
2025-07-25,94990
2025-07-26,94990
2025-07-27,94990
2025-07-28,94990
2025-07-29,94990
2025-07-30,94990
2025-07-31,91990
2025-08-01,91350
2025-08-02,91350
2025-08-03,91350
2025-08-04,91350
2025-08-05,91350
2025-08-06,90990
2025-08-07,89990
2025-08-08,93990
2025-08-09,93990
2025-08-10,93990
2025-08-11,93990
2025-08-12,94990
2025-08-13,92990
2025-08-14,92490
2025-08-15,90899
2025-08-16,92990
2025-08-17,91990
2025-08-18,94990
2025-08-19,95990
2025-08-20,95990
2025-08-21,95990
2025-08-22,95990
2025-08-23,91990
2025-08-24,87990
2025-08-25,95990
2025-08-26,91990
2025-08-27,95990
2025-08-28,95990
2025-08-29,95990
2025-08-30,95990
2025-08-31,95990
2025-09-01,95990
2025-09-02,95990
2025-09-03,95990
2025-09-04,95990
2025-09-05,95990
2025-09-06,95990
2025-09-07,95990
2025-09-08,95990
2025-09-09,93990
2025-09-10,93990
2025-09-11,93990
2025-09-12,93990
2025-09-13,93990
2025-09-14,93990
2025-09-15,93990
2025-09-16,93990
2025-09-17,93990
2025-09-18,93990
2025-09-19,93990
2025-09-20,93990
2025-09-21,93990
2025-09-22,78990
2025-09-23,90990
2025-09-24,90990
2025-09-25,90990
2025-09-26,90990
2025-09-27,90990
2025-09-28,90990
2025-09-29,90990
2025-09-30,90990
2025-10-01,90990
2025-10-02,89990
2025-10-03,90990
2025-10-04,90990
2025-10-05,90990
2025-10-06,90990
2025-10-07,90990
2025-10-08,90990
2025-10-09,90990
2025-10-10,87990
2025-10-11,87990
2025-10-12,87990
2025-10-13,90990
2025-10-14,90990
2025-10-15,90990
2025-10-16,90990
2025-10-17,90990
2025-10-18,90990
2025-10-19,90990
2025-10-20,90990
2025-10-21,90990
2025-10-22,90990
2025-10-23,90990
2025-10-24,90990
2025-10-25,90990
2025-10-26,90990
2025-10-27,90990
2025-10-28,90990
2025-10-29,94990
2025-10-30,94990
2025-10-31,94990
2025-11-01,94990
2025-11-02,94990
2025-11-03,94990
2025-11-04,94990
2025-11-05,94990
2025-11-06,94990
2025-11-07,94990
2025-11-08,94990
2025-11-09,94990
2025-11-10,94990
2025-11-11,94990
2025-11-12,94990
2025-11-13,94990
2025-11-14,91990
2025-11-15,91990
2025-11-16,91990
2025-11-17,91990
2025-11-18,91990
2025-11-19,91990
2025-11-20,91990
2025-11-21,91990
2025-11-22,94990
2025-11-23,94990
2025-11-24,94990
2025-11-25,94990
2025-11-26,94990
2025-11-27,94990
2025-11-28,94990
2025-11-29,94990
2025-11-30,94990
2025-12-01,94990
2025-12-02,94990
2025-12-03,94990
2025-12-04,92990
2025-12-05,92990
2025-12-06,92990
2025-12-07,92990
2025-12-08,92990
2025-12-09,92990
2025-12-10,92990
2025-12-11,92990
2025-12-12,92990
2025-12-13,92990
2025-12-14,92990
2025-12-15,92990
2025-12-16,92990
2025-12-17,92990
2025-12-18,95990
2025-12-19,94990
2025-12-20,94990
2025-12-21,94990
2025-12-22,94990
2025-12-23,94990
2025-12-24,94990
2025-12-25,94990
2025-12-26,94990
2025-12-27,94990
2025-12-28,94990
2025-12-29,94990
2025-12-30,94990
2025-12-31,94990
2026-01-01,94990
2026-01-02,94990
2026-01-03,94990
2026-01-04,94990
2026-01-05,94990
2026-01-06,92990
2026-01-07,88990
2026-01-08,91990
2026-01-09,93990
2026-01-10,91990
2026-01-11,90490
2026-01-12,90490
2026-01-13,91490
2026-01-14,91490
2026-01-15,91269
2026-01-16,90990
2026-01-17,90990
2026-01-18,90990
2026-01-19,90990
2026-01-20,90990
2026-01-21,90990
2026-01-22,90990
2026-01-23,90990
2026-01-24,91990
2026-01-25,91729
2026-01-26,91729
2026-01-27,91729
2026-01-28,94990
