Date,Price
2025-07-14,37590
2025-07-15,37590
2025-07-17,37590
2025-07-20,37590
2025-07-23,37590
2025-07-26,40200
2025-07-29,40200
2025-07-30,40200
2025-07-31,40200
2025-08-03,40200
2025-08-04,40200
2025-08-05,40200
2025-08-06,40200
2025-08-07,40200
2025-08-10,40200
2025-08-12,40200
2025-08-13,40200
2025-08-16,40200
2025-08-19,40200
2025-08-23,40200
2025-08-26,40200
2025-08-29,40200
2025-09-01,40200
2025-09-04,39965
2025-09-06,39965
2025-09-09,39891
2025-09-10,39891
2025-09-13,39891
2025-09-16,38790
2025-09-18,38690
2025-09-21,38690
2025-09-24,38690
2025-09-27,38550
2025-09-28,38550
2025-10-01,38490
2025-10-05,38490
2025-10-08,38490
2025-10-10,40990
2025-10-11,38490
2025-10-14,38490
2025-10-15,38490
2025-10-18,37999
2025-10-21,37499
2025-10-24,37499
2025-10-28,37499
2025-10-31,37499
2025-11-03,37499
2025-11-06,38550
2025-11-08,38550
2025-11-10,38550
2025-11-13,38530
2025-11-14,37899
2025-11-16,38550
2025-11-18,37299
2025-11-19,37299
2025-11-20,36553
2025-11-21,36553
2025-11-22,36553
2025-11-23,36553
2025-11-24,36553
2025-11-25,36553
2025-11-26,36553
2025-11-27,36553
2025-11-28,36490
2025-12-01,36453
2025-12-03,36453
2025-12-05,36453
2025-12-06,36453
2025-12-07,36453
2025-12-09,36490
2025-12-10,36490
2025-12-11,36490
2025-12-13,36490
2025-12-14,36490
2025-12-15,36490
2025-12-16,36490
2025-12-17,36490
2025-12-19,36490
2025-12-21,37982
2025-12-23,37982
2025-12-24,37982
2025-12-26,37982
2025-12-27,37982
2025-12-28,38550
2025-12-29,38550
2025-12-30,38550
2025-12-31,38550
2026-01-02,38900
2026-01-04,38900
2026-01-05,38900
2026-01-07,38900
2026-01-10,39468
2026-01-11,39468
2026-01-15,38491
2026-01-17,39468
2026-01-19,39468
2026-01-20,39468
2026-01-22,40425
2026-01-24,40425
2026-01-27,39990
2026-01-30,39990
2026-02-02,39990
2026-02-04,39990
2026-02-07,39990
2026-02-09,39990
2026-02-11,39990
2026-02-19,40425
2026-02-22,40425
2026-02-24,40425
2026-02-28,40425
2026-03-04,40425
2026-03-07,40492
2026-03-08,40492
2026-03-09,40492
2026-03-10,42799
2026-03-11,42799
2026-03-12,42799
2026-03-13,42799
2026-03-14,42799
2026-03-15,42799
2026-03-17,42799
2026-03-19,42799
2026-03-21,42799
2026-03-25,42799
2026-03-26,42799
