Date,Price
2024-03-25,76990
2024-03-26,76990
2024-03-27,76990
2024-03-28,76990
2024-03-29,76990
2024-03-30,76990
2024-03-31,76990
2024-04-01,76990
2024-04-02,76990
2024-04-03,76990
2024-04-05,76990
2024-05-14,80990
2024-05-15,80990
2024-05-16,80990
2024-05-18,81990
2024-05-19,81990
2024-05-22,81990
2024-05-25,81990
2024-05-26,81990
2024-05-27,81990
2024-05-29,81990
2024-06-01,81990
2024-06-02,81990
2024-06-03,81990
2024-06-06,81990
2024-06-09,81990
2024-06-10,81990
2024-06-12,81990
2024-06-13,81990
2024-06-15,81990
2024-06-17,81990
2024-06-18,81990
2024-07-04,80990
2024-07-05,80990
2024-07-06,80990
2024-07-07,80990
2024-07-08,80990
2024-07-09,80990
2024-07-10,80990
2024-07-11,80990
2024-07-12,81990
2024-07-13,81990
2024-07-14,81990
2024-07-15,78990
2024-07-16,78990
2024-07-17,78990
2024-07-18,79990
2024-07-19,79990
2024-07-20,75990
2024-07-21,79990
2024-07-22,79990
2024-07-23,81490
2024-07-24,81490
2024-07-25,81490
2024-07-26,81490
2024-07-27,80990
2024-07-28,80990
2024-07-30,80990
2024-07-31,80990
2024-08-01,80990
2024-08-02,80990
2024-08-03,80990
2024-08-04,80990
2024-08-06,77990
2024-08-07,77990
2024-08-08,75990
2024-08-09,75990
2024-08-10,76990
2024-08-11,76990
2024-08-12,76990
2024-08-13,76990
2024-08-14,76990
2024-08-15,76990
2024-08-16,87000
2024-08-17,76990
2024-08-18,81490
2024-08-21,81490
2024-08-23,81490
2024-08-25,81490
2024-08-26,81490
2024-08-27,81490
2024-08-29,81490
2024-08-30,81490
2024-08-31,78990
2024-09-01,80990
2024-09-02,80990
2024-09-03,78990
2024-09-04,78990
2024-09-05,78990
2024-09-06,78990
2024-09-07,80990
2024-09-08,80990
2024-09-09,80990
2024-09-10,78990
2024-09-12,78990
2024-09-13,78990
2024-09-14,78990
2024-09-15,77990
2024-09-16,77990
2024-09-17,77990
2024-09-18,77990
2024-09-19,77990
2024-09-20,77990
2024-09-21,77490
2024-09-22,77490
2024-09-23,76990
2024-09-24,76990
2024-09-25,76990
2024-09-26,76990
2024-09-27,76990
2024-09-28,76990
2024-09-29,76990
2024-09-30,76990
2024-10-01,75990
2024-10-02,75990
2024-10-03,75990
2024-10-04,75990
2024-10-05,74490
2024-10-06,74490
2024-10-07,74490
2024-10-08,74490
2024-10-09,72490
2024-10-10,72490
2024-10-11,77990
2024-10-12,77990
2024-10-13,77990
2024-10-14,77990
2024-10-15,77990
2024-10-16,77990
2024-10-17,80190
2024-10-19,77990
2024-10-20,77990
2024-10-21,76990
2024-10-23,72490
2024-10-24,72490
2024-10-25,72490
2024-10-26,71990
2024-10-28,71990
2024-10-29,71990
2024-10-30,71990
2024-10-31,71990
2024-11-02,71990
2024-11-05,71990
2024-11-07,71990
2024-11-08,76990
2024-11-12,76990
2024-11-14,76990
2024-11-15,76990
2024-11-16,74990
2024-11-18,74990
2024-11-19,74990
2024-11-20,74990
2024-11-21,74990
2024-11-23,74990
2024-11-24,74990
2024-11-26,74990
2024-11-27,74990
2024-11-30,80690
2024-12-01,80690
2024-12-03,68296
2024-12-05,68296
2024-12-07,68296
2024-12-08,68296
2024-12-09,72490
2024-12-12,72490
2024-12-13,72490
2024-12-14,72490
2024-12-16,72490
2024-12-20,72490
2024-12-23,72490
2024-12-25,72490
2024-12-28,76490
2024-12-31,76490
2025-01-03,76490
2025-01-07,76490
2025-01-08,76490
2025-01-12,76490
2025-01-13,76490
2025-01-14,76490
2025-01-15,76490
2025-01-16,76490
2025-01-17,76490
2025-01-18,76490
2025-01-19,76490
2025-01-20,76490
2025-01-21,76490
2025-01-22,76490
2025-01-24,76490
2025-01-25,76490
2025-01-26,76490
2025-01-28,76490
2025-01-29,76490
2025-01-30,76490
2025-02-01,76490
2025-02-02,76490
2025-02-05,73490
2025-02-06,73490
2025-02-08,73490
2025-02-09,73490
2025-02-10,73490
2025-02-13,73490
2025-02-16,72990
2025-02-19,72990
2025-02-20,72990
2025-02-21,72990
2025-02-23,72990
2025-02-26,72990
2025-02-28,72990
2025-03-01,72990
2025-03-02,72990
2025-03-03,72990
2025-03-05,71990
2025-03-06,71990
2025-03-07,71990
2025-03-08,69990
2025-03-09,69990
2025-03-10,68990
2025-03-11,68990
2025-03-12,68990
2025-03-13,68990
2025-03-14,68990
2025-03-15,72990
2025-03-16,72990
2025-03-17,72990
2025-03-18,68990
2025-03-19,68990
2025-03-22,68990
2025-03-23,68990
2025-03-24,72990
2025-03-25,72990
2025-03-26,72990
2025-03-27,72990
2025-03-28,72990
2025-03-29,72990
2025-03-30,72990
2025-04-01,72990
2025-04-02,72990
2025-04-03,72990
2025-04-04,72990
2025-04-05,72990
2025-04-07,72990
2025-04-09,72990
2025-04-10,72990
2025-04-13,72990
2025-04-14,72990
2025-04-17,71990
2025-04-18,71990
