Date,Price
2024-09-23,75499
2024-09-24,75499
2024-09-25,75499
2024-09-26,75499
2024-09-27,72190
2024-09-28,72190
2024-09-29,72190
2024-09-30,72190
2024-10-01,72190
2024-10-02,72190
2024-10-03,71099
2024-10-04,72190
2024-10-05,71099
2024-10-06,71099
2024-10-07,71099
2024-10-08,71099
2024-10-09,71099
2024-10-10,71099
2024-10-11,71099
2024-10-12,71099
2024-10-13,71099
2024-10-14,71099
2024-10-15,71099
2024-10-16,71099
2024-10-17,73690
2024-10-18,73690
2024-10-19,73690
2024-10-20,71690
2024-10-21,71690
2024-10-22,73690
2024-10-23,73690
2024-10-24,73690
2024-10-25,73690
2024-10-26,73690
2024-10-27,73690
2024-10-28,73690
2024-10-29,73690
2024-10-30,73690
2024-10-31,73690
2024-11-01,73690
2024-11-02,73690
2024-11-03,73690
2024-11-04,73690
2024-11-05,73690
2024-11-06,73690
2024-11-07,71099
2024-11-08,71099
2024-11-09,71099
2024-11-10,71099
2024-11-11,77490
2024-11-12,74990
2024-11-13,74990
2024-11-14,74990
2024-11-15,74990
2024-11-16,83990
2024-11-17,77490
2024-11-18,77490
2024-11-19,77490
2024-11-20,77490
2024-11-21,80490
2024-11-22,80490
2024-11-23,79999
2024-11-24,79999
2024-11-25,79999
2024-11-26,79999
2024-11-27,79999
2024-11-28,79999
2024-11-29,79999
2024-11-30,77099
2024-12-01,77099
2024-12-02,77099
2024-12-03,77099
2024-12-04,77099
2024-12-05,77099
2024-12-06,77099
2024-12-07,77099
2024-12-08,77099
2024-12-09,77099
2024-12-10,77099
2024-12-11,77099
2024-12-12,77099
2024-12-13,77099
2024-12-14,77099
2024-12-15,77099
2024-12-16,77099
2024-12-17,79590
2024-12-18,79590
2024-12-20,69990
2024-12-21,69990
2024-12-23,69990
2024-12-24,73890
2024-12-27,73890
2024-12-28,73890
2024-12-29,73890
2024-12-31,69990
2025-01-04,69990
2025-01-05,69990
2025-01-06,73890
2025-01-10,69990
2025-01-11,69990
2025-01-12,73490
2025-01-13,73490
2025-01-14,73890
2025-01-15,73890
2025-01-16,73890
2025-01-17,73890
2025-01-18,73890
2025-01-19,73890
2025-01-20,73890
2025-01-21,73890
2025-01-22,73890
2025-01-23,73890
2025-01-24,73890
2025-01-25,73890
2025-01-26,73890
2025-01-27,73890
2025-01-28,73890
2025-01-29,73890
2025-01-30,73890
2025-01-31,73099
2025-02-01,73890
2025-02-02,73890
2025-02-03,73890
2025-02-04,73890
2025-02-05,73890
2025-02-06,73890
2025-02-07,73890
2025-02-08,73890
2025-02-09,73890
2025-02-10,73890
2025-02-11,73890
2025-02-12,73890
2025-02-13,73890
2025-02-14,73890
2025-02-15,73890
2025-02-16,73890
2025-02-17,73890
2025-02-18,73890
2025-02-19,72990
2025-02-20,72990
2025-02-21,72990
2025-02-22,72990
2025-02-23,72990
2025-02-24,72990
2025-02-25,72990
2025-02-26,72990
2025-02-27,70990
2025-02-28,70990
2025-03-01,69340
2025-03-02,70990
2025-03-03,70990
2025-03-04,70990
2025-03-05,70990
2025-03-06,70990
2025-03-07,70990
2025-03-08,70990
2025-03-09,70990
2025-03-10,70990
2025-03-11,70990
2025-03-12,70990
2025-03-13,70990
2025-03-14,70990
2025-03-15,70990
2025-03-16,70990
2025-03-17,70990
2025-03-18,70990
2025-03-19,75500
2025-03-20,75500
2025-03-21,72990
2025-03-22,70371
2025-03-23,70371
2025-03-24,70371
2025-03-25,70371
2025-03-26,72990
2025-03-27,72990
2025-03-28,72990
2025-03-29,75500
2025-03-30,75500
2025-03-31,75500
2025-04-01,75500
2025-04-02,75500
2025-04-03,75500
2025-04-04,75500
2025-04-05,75500
2025-04-06,75500
2025-04-07,75500
2025-04-08,75500
2025-04-09,75500
2025-04-10,75500
2025-04-11,75500
2025-04-12,72990
2025-04-13,72990
2025-04-14,75500
2025-04-15,74990
2025-04-16,74990
2025-04-17,74990
2025-04-18,74990
2025-04-19,74990
2025-04-20,72990
2025-04-21,74990
2025-04-22,74990
2025-04-23,74990
2025-04-24,74990
2025-04-25,74990
2025-04-26,74990
2025-04-27,74990
2025-04-28,74990
2025-04-29,74990
2025-04-30,74990
2025-05-01,73990
2025-05-02,73990
2025-05-03,73990
2025-05-04,73990
2025-05-05,73990
2025-05-06,70990
2025-05-07,70990
2025-05-08,71990
2025-05-09,71990
2025-05-10,74990
2025-05-11,77990
2025-05-12,77900
2025-05-13,77900
2025-05-14,77990
2025-05-15,77990
2025-05-16,77990
2025-05-17,77990
2025-05-18,77990
2025-05-19,77990
2025-05-20,77990
2025-05-21,77990
2025-05-22,75990
2025-05-23,75990
2025-05-24,75990
2025-05-25,75990
2025-05-26,75990
2025-05-27,75990
2025-05-28,75990
2025-05-29,76490
2025-05-30,76490
2025-05-31,76490
2025-06-01,76490
2025-06-02,76490
2025-06-03,76490
2025-06-04,76490
2025-06-05,76490
2025-06-06,76490
2025-06-07,76490
2025-06-08,76490
2025-06-09,76490
2025-06-10,76490
2025-06-11,76490
2025-06-12,75990
2025-06-13,75990
2025-06-14,75990
2025-06-15,75990
2025-06-16,71990
2025-06-17,71990
2025-06-18,71990
2025-06-19,71990
2025-06-20,73190
2025-06-21,71990
2025-06-22,70990
2025-06-23,70990
2025-06-24,74900
2025-06-25,69990
2025-06-26,70990
2025-06-27,77990
2025-06-28,77990
2025-06-29,77990
2025-06-30,66375
2025-07-01,77990
2025-07-02,77990
2025-07-03,79190
2025-07-04,79190
2025-07-05,79190
2025-07-06,69990
2025-07-07,69990
2025-07-08,76990
2025-07-09,76990
2025-07-10,69990
2025-07-11,69990
2025-07-12,70990
2025-07-13,72990
2025-07-14,72990
2025-07-15,72990
2025-07-16,72990
2025-07-17,72990
2025-07-18,72990
2025-07-19,79190
2025-07-20,79190
2025-07-21,75490
2025-07-22,75490
2025-07-23,75490
2025-07-24,70990
2025-07-25,70990
2025-07-26,70990
2025-07-27,70990
2025-07-28,70990
2025-07-29,70990
2025-07-30,74990
2025-07-31,70990
2025-08-01,74990
2025-08-02,74990
2025-08-03,74990
2025-08-04,72990
2025-08-05,71990
2025-08-06,71990
2025-08-07,70990
2025-08-08,70990
2025-08-09,70990
2025-08-10,70990
2025-08-11,70990
2025-08-12,70990
2025-08-13,72490
2025-08-14,77490
2025-08-15,77490
2025-08-16,77490
2025-08-17,77490
2025-08-18,77490
2025-08-19,77490
2025-08-20,77490
2025-08-21,77490
2025-08-22,77490
2025-08-23,76490
2025-08-24,77990
2025-08-25,76990
2025-08-26,76990
2025-08-27,76990
2025-08-28,74990
2025-08-29,74990
2025-08-30,74990
2025-08-31,74990
2025-09-01,73099
2025-09-02,73099
2025-09-03,74990
2025-09-04,74990
2025-09-05,74990
2025-09-06,74990
2025-09-07,74990
2025-09-08,74990
2025-09-09,74990
2025-09-10,70990
2025-09-11,70990
2025-09-12,70990
2025-09-13,74990
2025-09-14,74990
2025-09-15,74990
2025-09-16,70990
2025-09-17,70990
2025-09-18,70990
2025-09-19,74990
2025-09-20,73099
2025-09-21,73099
2025-09-22,40099
2025-09-23,72989
2025-09-24,72989
2025-09-25,72989
2025-09-26,72989
2025-09-27,72989
2025-09-28,70990
2025-09-29,70990
2025-09-30,72989
2025-10-01,70990
2025-10-02,70990
2025-10-03,72990
2025-10-04,72990
2025-10-05,72990
2025-10-06,72990
2025-10-07,72990
2025-10-08,72990
2025-10-09,72990
2025-10-10,72990
2025-10-11,72990
2025-10-12,72990
2025-10-13,72990
2025-10-14,70990
2025-10-15,70990
2025-10-16,74990
2025-10-17,70990
2025-10-18,74990
2025-10-19,74990
2025-10-20,74990
2025-10-21,74990
2025-10-22,74990
2025-10-23,74990
2025-10-24,74990
2025-10-25,78290
2025-10-26,78290
2025-10-27,78290
2025-10-28,78290
2025-10-29,79990
2025-10-30,79990
2025-10-31,79990
2025-11-01,79990
2025-11-02,79990
2025-11-03,79990
2025-11-04,79990
2025-11-05,79990
2025-11-06,79215
2025-11-07,78990
2025-11-08,76890
2025-11-09,76890
2025-11-10,76890
2025-11-11,76890
2025-11-12,76890
2025-11-13,76890
2025-11-14,76890
2025-11-15,76890
2025-11-16,77990
2025-11-17,77990
2025-11-18,77990
2025-11-19,77990
2025-11-20,78990
2025-11-21,78990
2025-11-22,78990
2025-11-23,74990
2025-11-24,74990
2025-11-25,74990
2025-11-26,74990
2025-11-27,74990
2025-11-28,74990
2025-11-29,73990
2025-11-30,73990
2025-12-01,73990
2025-12-02,73990
2025-12-03,73990
2025-12-04,73990
2025-12-05,80990
2025-12-06,80990
2025-12-07,80990
2025-12-08,80990
2025-12-09,80990
2025-12-10,80990
2025-12-11,79990
2025-12-12,79990
2025-12-13,79990
2025-12-14,79990
2025-12-15,79990
2025-12-16,79990
2025-12-17,79990
2025-12-18,79990
2025-12-19,79990
2025-12-20,80990
2025-12-21,81490
2025-12-22,81490
2025-12-23,80990
2025-12-24,80990
2025-12-25,80990
2025-12-26,80990
2025-12-27,80990
2025-12-28,80990
2025-12-29,80990
2025-12-30,80990
2025-12-31,80990
2026-01-01,80990
2026-01-02,80990
2026-01-03,80990
2026-01-04,80990
2026-01-05,80990
2026-01-06,80990
2026-01-07,80990
2026-01-08,80990
2026-01-09,80990
2026-01-10,80990
2026-01-11,80990
2026-01-12,80990
2026-01-13,81490
2026-01-14,81490
2026-01-15,78990
2026-01-16,75938
2026-01-17,75938
2026-01-18,78990
2026-01-19,78990
2026-01-20,78990
2026-01-21,78990
2026-01-22,78990
2026-01-23,78990
2026-01-24,78990
2026-01-25,78990
2026-01-26,78990
2026-01-27,76999
2026-01-28,78990
2026-01-29,78990
2026-01-30,78990
2026-01-31,78990
2026-02-01,78990
2026-02-02,81490
2026-02-03,88990
2026-02-04,88990
2026-02-05,88990
2026-02-06,88990
2026-02-07,88990
2026-02-08,88990
2026-02-09,88990
2026-02-10,88990
2026-02-11,88990
2026-02-12,88990
2026-02-13,94061
2026-02-14,88990
2026-02-15,88990
2026-02-16,84990
2026-02-17,84990
2026-02-18,84990
2026-02-19,84990
2026-02-20,84990
2026-02-21,84990
2026-02-22,84990
2026-02-24,90000
2026-02-26,90000
2026-02-28,90000
2026-03-02,90000
2026-03-03,90000
2026-03-05,94061
2026-03-06,84990
2026-03-07,84990
2026-03-08,84990
2026-03-09,84990
2026-03-10,84990
2026-03-11,84990
2026-03-12,84990
2026-03-13,83990
2026-03-14,83990
2026-03-15,84990
2026-03-16,84990
2026-03-17,84990
2026-03-18,83990
2026-03-19,83990
2026-03-20,82990
2026-03-21,82990
2026-03-22,82990
2026-03-23,82990
2026-03-24,82990
2026-03-25,82990
2026-03-26,82990
