Date,Price
2025-03-17,29999
2025-03-18,29999
2025-03-19,32889
2025-03-20,32499
2025-03-22,32999
2025-03-23,31995
2025-03-24,29995
2025-03-25,28948
2025-03-26,28848
2025-03-27,30298
2025-03-28,31697
2025-03-29,31597
2025-03-30,31599
2025-03-31,29999
2025-04-01,30999
2025-04-02,30999
2025-04-03,30999
2025-04-04,30890
2025-04-05,29189
2025-04-06,28999
2025-04-07,31899
2025-04-08,30999
2025-04-09,30780
2025-04-10,30680
2025-04-11,30649
2025-04-12,30599
2025-04-13,30599
2025-04-14,30550
2025-04-15,30524
2025-04-16,30392
2025-04-17,30375.99
2025-04-18,29428
2025-04-19,28980
2025-04-20,28930
2025-04-21,28920
2025-04-22,28760
2025-04-23,28739.99
2025-04-24,28718
2025-04-25,28699
2025-04-26,28678.99
2025-04-27,28639
2025-04-28,28625
2025-04-29,28625
2025-04-30,28589
2025-05-01,28499
2025-05-02,28460
2025-05-03,28400
2025-05-04,28385
2025-05-05,28385
2025-05-06,28360
2025-05-07,28340
2025-05-08,28339
2025-05-09,28320
2025-05-10,28245
2025-05-11,28240
2025-05-12,28240
2025-05-13,28249
2025-05-14,29479
2025-05-15,29440
2025-05-16,29370
2025-05-17,29088
2025-05-18,28856
2025-05-19,28300
2025-05-20,28144
2025-05-21,28039
2025-05-22,27885
2025-05-23,27849
2025-05-24,27699
2025-05-25,27699
2025-05-26,27650
2025-05-27,27649
2025-05-28,28245
2025-05-29,28054
2025-05-30,27928
2025-06-01,27809
2025-06-02,27674
2025-06-03,27599
2025-06-04,27578
2025-06-05,27597
2025-06-06,27579
2025-06-07,27579
2025-06-08,29950
2025-06-09,29800
2025-06-10,28400
2025-06-11,28350
2025-06-12,28350
2025-06-13,28350
2025-06-14,28949
2025-06-15,28198
2025-06-16,27998
2025-06-17,27987
2025-06-18,27899
2025-06-19,27848
2025-06-20,27766
2025-06-21,27668
2025-06-22,27500
2025-06-23,27445
2025-06-24,27395
2025-06-25,27272
2025-06-27,27180
2025-06-29,27419
2025-06-30,27393
2025-07-01,27393
2025-07-02,27799
2025-07-03,28383
2025-07-04,28324
2025-07-05,28193
2025-07-08,28098
2025-07-09,28078
2025-07-10,28879
2025-07-11,28862
2025-07-12,28697
2025-07-13,28499
2025-07-14,28100
2025-07-15,27960
2025-07-16,27830
2025-07-17,27707
2025-07-18,27692
2025-07-19,27675
2025-07-20,27674
2025-07-21,28330
2025-07-22,28200
2025-07-23,28180
2025-07-24,28160
2025-07-25,28180
2025-07-26,28084
2025-07-27,28049
2025-07-28,27990
2025-07-29,28077
2025-07-30,28004
2025-07-31,27690
2025-08-01,27580
2025-08-02,27389
2025-08-03,27186
2025-08-04,27099
2025-08-05,26848
2025-08-06,26792
2025-08-07,26698
2025-08-08,27300
2025-08-09,27298
2025-08-10,27273
2025-08-12,27188
2025-08-13,27138
2025-08-14,27127
2025-08-15,27120
2025-08-16,27120
2025-08-17,27115
2025-08-18,27120
2025-08-19,27259
2025-08-20,27165
2025-08-21,27130
2025-08-22,27125
2025-08-23,26980
2025-08-24,26988
2025-08-25,26983
2025-08-26,26978
2025-08-27,26972
2025-08-28,26956
2025-08-29,26956
2025-08-30,26953
2025-08-31,26899
2025-09-01,26850
2025-09-02,26826
2025-09-03,26662
2025-09-04,26613
2025-09-05,26470
2025-09-06,26430
2025-09-07,26399
2025-09-08,26298
2025-09-09,26195
2025-09-10,26095
2025-09-11,26028
2025-09-12,25960
2025-09-13,25883
2025-09-14,25833
2025-09-15,25730
2025-09-16,25869
2025-09-17,25833
2025-09-18,25545
2025-09-19,25500
2025-09-20,25500
2025-09-21,25440
2025-09-22,25000
2025-09-23,25000
2025-09-24,25990
2025-09-25,26240
2025-09-26,26220
2025-09-27,25979
2025-09-28,25444
2025-09-29,25212
2025-09-30,25000
2025-10-01,25000
2025-10-02,25227
2025-10-03,25600
2025-10-04,25497
2025-10-05,25497
2025-10-06,25397
2025-10-07,25380
2025-10-08,25330
2025-10-09,25298
2025-10-10,25370
2025-10-11,25796
2025-10-12,25789
2025-10-13,25790
2025-10-14,25667
2025-10-15,25618
2025-10-16,25493
2025-10-17,25370
2025-10-18,25210
2025-10-19,25180
2025-10-20,25180
2025-10-21,25180
2025-10-22,25180
2025-10-23,25170
2025-10-24,25689
2025-10-25,25689
2025-10-26,25182
2025-10-27,25182
2025-10-28,26650
2025-10-29,26487
2025-10-30,25999
2025-10-31,26689
2025-11-01,26760
2025-11-02,25770
2025-11-03,26760
2025-11-04,26880
2025-11-05,25770
2025-11-06,26870
2025-11-07,26689
2025-11-10,26847
2025-11-12,27999
2025-11-15,27995
2025-11-17,27995
2025-11-19,27990
2025-11-21,27990
2025-11-22,27990
2025-11-24,27990
2025-11-27,27999
2025-11-30,27980
2025-12-01,27980
2025-12-06,27900
2025-12-08,27899
2025-12-10,27999
2025-12-17,27900
2025-12-22,27990
2025-12-25,27999
2025-12-28,27899
2026-01-05,27999
2026-01-10,27869
2026-01-16,27999
2026-01-17,27999
2026-01-20,27999
2026-01-24,27999
2026-01-27,27999
2026-01-30,27999
2026-02-03,27990
2026-02-07,27999
2026-02-10,27999
2026-02-15,27999
2026-02-19,27999
2026-02-23,27999
2026-02-25,27999
2026-02-27,27999
2026-03-02,27999
2026-03-05,27999
2026-03-08,27999
2026-03-11,27999
2026-03-23,27999
