Date,Price
2024-12-20,14999
2024-12-21,14999
2024-12-22,14999
2024-12-23,14999
2024-12-24,14999
2024-12-25,14999
2024-12-26,14999
2024-12-27,14999
2024-12-29,14999
2024-12-30,14999
2025-01-01,14999
2025-01-04,14999
2025-01-05,14999
2025-01-06,14999
2025-01-10,14999
2025-01-11,14999
2025-01-12,14999
2025-01-13,14999
2025-01-14,14999
2025-01-15,14999
2025-01-16,14999
2025-01-17,14999
2025-01-18,14999
2025-01-19,13999
2025-01-20,14999
2025-01-21,14999
2025-01-22,14999
2025-01-23,14999
2025-01-24,14999
2025-01-25,14999
2025-01-26,14999
2025-01-27,14999
2025-01-28,14999
2025-01-29,13999
2025-01-30,13999
2025-01-31,13999
2025-02-01,13999
2025-02-02,13999
2025-02-03,13999
2025-02-04,13999
2025-02-05,13999
2025-02-06,14249
2025-02-07,14249
2025-02-08,14249
2025-02-09,14249
2025-02-10,14249
2025-02-11,14249
2025-02-12,14249
2025-02-13,14249
2025-02-14,13999
2025-02-15,13999
2025-02-16,13999
2025-02-17,13999
2025-02-18,13999
2025-02-19,13999
2025-02-20,13999
2025-02-21,13999
2025-02-22,13999
2025-02-23,13999
2025-02-26,13999
2025-02-27,13999
2025-02-28,13999
2025-03-01,13999
2025-03-02,13999
2025-03-03,13999
2025-03-05,13999
2025-03-06,13999
2025-03-07,13999
2025-03-08,13999
2025-03-09,13999
2025-03-10,13999
2025-03-11,13999
2025-03-12,13999
2025-03-13,13999
2025-03-14,13999
2025-03-15,13999
2025-03-16,13999
2025-03-17,13999
2025-03-18,13999
2025-03-19,13999
2025-03-20,13999
2025-03-21,13999
2025-03-22,13999
2025-03-23,13999
2025-03-24,13999
2025-03-25,13999
2025-03-26,13999
2025-03-27,13999
2025-03-28,13999
2025-03-29,13999
2025-03-30,13999
2025-03-31,13999
2025-04-01,13499
2025-04-02,13499
2025-04-03,13499
2025-04-04,13499
2025-04-05,13499
2025-04-06,13499
2025-04-07,13499
2025-04-08,13499
2025-04-09,13499
2025-04-10,13499
2025-04-11,13499
2025-04-12,13499
2025-04-13,13749
2025-04-14,13749
