Date,Positive_Reviews,Negative_Reviews,Top_Tags
2022-10-01,18402,14407,FPS|Multiplayer|Shooter|Singleplayer|Action
2022-11-01,63446,35485,FPS|Multiplayer|Shooter|Singleplayer|Action
2022-12-01,18261,13797,FPS|Multiplayer|Shooter|Singleplayer|Action
2023-01-01,9408,6477,FPS|Multiplayer|Shooter|Singleplayer|Action
2023-02-01,6517,6618,FPS|Multiplayer|Shooter|Singleplayer|Action
2023-03-01,5675,4726,FPS|Multiplayer|Shooter|Singleplayer|Action
2023-04-01,5052,4888,FPS|Multiplayer|Shooter|Singleplayer|Action
2023-05-01,3286,3893,FPS|Multiplayer|Shooter|Singleplayer|Action
2023-06-01,4334,5402,FPS|Multiplayer|Shooter|Singleplayer|Action
2023-07-01,5044,4537,FPS|Multiplayer|Shooter|Singleplayer|Action
2023-08-01,3835,4266,FPS|Multiplayer|Shooter|Singleplayer|Action
2023-09-01,2796,2660,FPS|Multiplayer|Shooter|Singleplayer|Action
2023-10-01,3457,2820,FPS|Multiplayer|Shooter|Singleplayer|Action
2023-11-01,8934,12649,FPS|Multiplayer|Shooter|Singleplayer|Action
2023-12-01,6564,6798,FPS|Multiplayer|Shooter|Singleplayer|Action
2024-01-01,4759,3999,FPS|Multiplayer|Shooter|Singleplayer|Action
2024-02-01,4050,3464,FPS|Multiplayer|Shooter|Singleplayer|Action
2024-03-01,3606,2863,FPS|Multiplayer|Shooter|Singleplayer|Action
2024-04-01,4082,2850,FPS|Multiplayer|Shooter|Singleplayer|Action
2024-05-01,3439,2534,FPS|Multiplayer|Shooter|Singleplayer|Action
2024-06-01,3144,2144,FPS|Multiplayer|Shooter|Singleplayer|Action
2024-07-01,2795,1923,FPS|Multiplayer|Shooter|Singleplayer|Action
2024-08-01,2961,2783,FPS|Multiplayer|Shooter|Singleplayer|Action
2024-09-01,2755,2273,FPS|Multiplayer|Shooter|Singleplayer|Action
2024-10-01,5614,3578,FPS|Multiplayer|Shooter|Singleplayer|Action
2024-11-01,11545,6156,FPS|Multiplayer|Shooter|Singleplayer|Action
2024-12-01,5283,3796,FPS|Multiplayer|Shooter|Singleplayer|Action
2025-01-01,3436,3592,FPS|Multiplayer|Shooter|Singleplayer|Action
2025-02-01,2561,2520,FPS|Multiplayer|Shooter|Singleplayer|Action
2025-03-01,1871,1549,FPS|Multiplayer|Shooter|Singleplayer|Action
2025-04-01,2183,1717,FPS|Multiplayer|Shooter|Singleplayer|Action
2025-05-01,1747,1492,FPS|Multiplayer|Shooter|Singleplayer|Action
2025-06-01,1627,1547,FPS|Multiplayer|Shooter|Singleplayer|Action
2025-07-01,1750,1494,FPS|Multiplayer|Shooter|Singleplayer|Action
2025-08-01,1036,1169,FPS|Multiplayer|Shooter|Singleplayer|Action
2025-09-01,607,594,FPS|Multiplayer|Shooter|Singleplayer|Action
2025-10-01,1111,1435,FPS|Multiplayer|Shooter|Singleplayer|Action
2025-11-01,2115,2366,FPS|Multiplayer|Shooter|Singleplayer|Action
2025-12-01,1587,1606,FPS|Multiplayer|Shooter|Singleplayer|Action
2026-01-01,1098,803,FPS|Multiplayer|Shooter|Singleplayer|Action
2026-02-01,907,792,FPS|Multiplayer|Shooter|Singleplayer|Action
2026-03-01,750,861,FPS|Multiplayer|Shooter|Singleplayer|Action
2026-04-01,592,551,FPS|Multiplayer|Shooter|Singleplayer|Action
