Date,Positive_Reviews,Negative_Reviews,Top_Tags
2011-12-01,2,23,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2012-01-01,6,22,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2012-02-01,2,3,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2012-03-01,0,1,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2012-04-01,0,2,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2012-05-01,1,2,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2012-06-01,1,1,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2012-07-01,1,3,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2012-08-01,0,12,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2012-09-01,1,3,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2012-10-01,2,1,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2012-11-01,3,3,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2012-12-01,1,3,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2013-01-01,1,3,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2013-02-01,1,5,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2013-03-01,2,3,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2013-05-01,2,4,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2013-06-01,2,9,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2013-07-01,0,4,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2013-08-01,2,3,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2013-09-01,0,4,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2013-10-01,4,2,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2013-11-01,0,18,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2013-12-01,5,66,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2014-01-01,3,31,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2014-02-01,5,42,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2014-03-01,3,29,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2014-04-01,3,25,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2014-05-01,5,56,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2014-06-01,7,26,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2014-07-01,7,29,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2014-08-01,3,17,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2014-09-01,4,38,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2014-10-01,0,29,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2014-11-01,3,18,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2014-12-01,4,39,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2015-01-01,4,12,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2015-02-01,4,30,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2015-03-01,1,14,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2015-04-01,4,35,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2015-05-01,3,30,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2015-06-01,2,43,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2015-07-01,4,11,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2015-08-01,2,24,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2015-09-01,1,17,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2015-10-01,1,23,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2015-11-01,3,17,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2015-12-01,1,22,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2016-01-01,3,37,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2016-02-01,4,23,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2016-03-01,6,23,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2016-04-01,2,16,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2016-05-01,2,19,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2016-06-01,6,22,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2016-07-01,4,16,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2016-08-01,5,36,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2016-09-01,1,8,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2016-10-01,4,41,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2016-11-01,1,23,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2016-12-01,1,31,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2017-01-01,1,26,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2017-02-01,0,12,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2017-03-01,0,12,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2017-04-01,0,30,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2017-05-01,1,13,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2017-06-01,5,28,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2017-07-01,0,15,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2017-08-01,2,18,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2017-09-01,1,9,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2017-10-01,4,20,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2017-11-01,6,15,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2017-12-01,0,14,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2018-01-01,2,20,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2018-02-01,1,16,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2018-03-01,3,11,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2018-04-01,2,13,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2018-05-01,10,16,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2018-06-01,2,11,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2018-07-01,7,21,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2018-08-01,1,9,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2018-09-01,6,18,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2018-10-01,3,11,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2018-11-01,0,20,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2018-12-01,3,8,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2019-01-01,2,19,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2019-02-01,1,9,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2019-03-01,5,9,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2019-04-01,3,5,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2019-05-01,2,12,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2019-06-01,7,14,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2019-07-01,7,18,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2019-08-01,2,14,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2019-09-01,1,14,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2019-10-01,3,9,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2019-11-01,4,12,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2019-12-01,3,21,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2020-01-01,2,15,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2020-02-01,3,10,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2020-03-01,2,13,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2020-04-01,2,21,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
2020-05-01,4,24,Psychological Horror|Combat Racing|Racing|Automobile Sim|Horror
