Date,Price
2015-11-04,729
2015-11-25,145
2015-12-02,729
2015-12-23,109
2016-01-05,729
2016-01-25,169
2016-02-01,729
2016-02-06,109
2016-02-13,729
2016-03-28,169
2016-04-04,729
2016-05-12,145
2016-05-19,729
2016-06-24,109
2016-07-04,729
2016-08-01,127
2016-08-08,729
2016-10-03,127
2016-10-10,729
2016-11-24,182
2016-12-01,729
2016-12-12,170
2016-12-19,729
2016-12-23,73
2017-01-02,729
2017-04-03,127
2017-04-10,729
2017-06-12,72
2017-06-19,729
2017-06-23,72
2017-07-06,729
2017-08-14,169
2017-08-21,729
2017-09-01,369
2017-10-16,92
2017-10-23,369
2017-10-27,73
2017-11-01,369
2017-11-22,74
2017-11-28,369
2017-12-22,74
2018-01-05,369
2018-01-08,92
2018-01-15,369
2018-02-15,36
2018-02-20,369
2018-03-12,73
2018-03-19,369
2018-05-14,36
2018-05-21,369
2018-06-22,36
2018-07-05,369
2018-07-16,36
2018-07-23,339
2018-07-30,369
2018-09-17,36
2018-09-24,169
2018-10-02,369
2018-10-29,36
2018-11-01,369
2018-11-22,36
2018-11-28,369
2018-12-21,36
2019-01-04,369
2019-01-08,36
2019-01-15,254
2019-01-17,255
2019-01-22,369
2019-02-05,37
2019-02-12,369
2019-03-18,36
2019-03-25,369
2019-05-20,36
2019-05-27,212
2019-06-03,369
2019-06-26,36
2019-07-10,369
2019-07-15,36
2019-07-29,169
2019-08-12,369
2019-09-09,73
2019-09-23,212
2019-10-07,369
2019-10-28,36
2019-11-01,369
2019-11-04,36
2019-11-18,369
2019-11-26,73
2019-12-03,369
2019-12-04,169
2019-12-16,369
2019-12-19,36
2020-01-02,369
2020-01-06,36
2020-01-20,369
2020-01-23,73
2020-01-28,369
2020-02-03,212
2020-02-17,369
2020-03-02,36
2020-03-16,369
2020-03-30,169
2020-04-13,369
2020-04-27,36
2020-05-11,369
2020-05-25,169
2020-06-08,369
2020-06-25,36
2020-07-09,369
2020-07-13,73
2020-07-27,369
2020-08-03,169
2020-08-17,369
2020-09-07,36
2020-09-21,369
2020-09-28,169
2020-10-12,369
2020-10-29,73
2020-11-03,36
2020-11-17,369
2020-11-25,36
2020-12-01,369
2020-12-07,212
2020-12-21,369
2020-12-23,36
2021-01-05,369
2021-01-11,36
2021-01-25,369
2021-02-11,36
2021-02-16,169
2021-03-01,369
2021-03-08,36
2021-03-22,369
2021-04-12,254
2021-04-26,369
2021-05-03,36
2021-05-17,369
2021-06-07,212
2021-06-21,369
2021-06-25,36
2021-07-08,369
2021-07-12,36
2021-07-26,369
2021-08-02,169
2021-08-16,369
2021-09-13,36
2021-09-27,254
2021-10-11,369
2021-10-28,73
2021-11-01,369
2021-11-02,36
2021-11-22,369
2021-11-24,36
2021-11-24,36
2021-12-01,169
2021-12-15,369
2021-12-22,36
2021-12-22,36
2022-01-05,369
2022-01-10,36
2022-01-24,369
2022-01-27,36
2022-02-03,369
2022-02-21,212
2022-03-08,73
2022-03-21,369
2022-04-18,73
2022-05-02,254
2022-05-16,369
2022-05-30,36
2022-06-13,369
2022-06-23,36
2022-06-23,36
2022-07-07,369
2022-07-11,36
2022-07-25,169
2022-08-08,369
2022-08-22,36
2022-09-05,254
2022-09-19,369
2022-10-03,36
2022-10-17,212
2022-10-31,369
2022-11-22,36
2022-12-13,369
2022-12-22,36
2023-01-05,369
2023-01-16,36
2023-01-30,212
2023-02-13,369
2023-03-01,36
2023-03-15,369
2023-03-16,36
2023-03-23,369
2023-03-27,297
2023-04-03,369
2023-04-17,73
2023-05-01,369
2023-05-04,212
2023-05-17,369
2023-05-31,36
2023-06-14,369
2023-06-29,36
2023-07-13,369
2023-07-17,127
2023-07-31,369
2023-08-16,73
2023-08-30,169
2023-09-13,369
2023-10-05,36
2023-10-19,369
2023-10-20,480
2023-10-20,212
2023-11-03,480
2023-11-21,192
2023-11-28,168
2023-12-12,254
2023-12-21,168
2024-01-05,480
2024-01-11,96
2024-01-25,169
2024-02-03,480
2024-02-24,96
2024-03-09,480
2024-03-14,120
2024-03-21,169
2024-04-04,480
2024-04-11,96
2024-04-25,480
2024-05-09,169
2024-05-23,480
2024-06-06,96
2024-06-20,480
2024-06-27,96
2024-07-11,480
2024-07-20,48
2024-08-03,480
2024-08-05,212
2024-08-19,480
2024-09-02,96
2024-09-16,480
2024-10-01,169
2024-10-15,480
2024-10-16,96
2024-10-30,480
2024-11-16,254
2024-11-21,480
2024-11-27,96
2024-12-18,480
2024-12-20,96
2025-01-03,480
2025-01-03,169
2025-01-17,96
2025-01-31,480
2025-03-02,169
2025-03-12,480
2025-03-13,96
2025-04-03,480
2025-04-17,169
2025-05-01,480
2025-05-05,96
2025-05-19,480
2025-06-05,169
2025-06-19,480
2025-06-27,96
2025-07-10,480
2025-07-11,96
2025-07-25,254
2025-08-08,480
2025-08-25,96
2025-09-08,212
2025-09-22,480
2025-09-29,96
2025-10-06,480
2025-10-08,96
2025-10-22,169
2025-11-05,480
2025-11-21,96
2025-12-05,169
2025-12-18,48
2026-01-19,169
2026-02-02,480
2026-02-18,96
2026-03-04,169
2026-03-18,480
2026-03-19,48
2026-03-26,480
2026-04-13,96
2026-04-27,480
2026-04-29,212
2026-04-29,212
