Date,Positive_Reviews,Negative_Reviews,Top_Tags
2017-02-01,392,21,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2017-03-01,1092,52,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2017-04-01,529,28,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2017-05-01,604,33,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2017-06-01,1291,83,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2017-07-01,1694,100,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2017-08-01,1554,107,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2017-09-01,613,27,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2017-10-01,934,33,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2017-11-01,3947,49,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2017-12-01,1198,84,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2018-01-01,1271,76,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2018-02-01,797,41,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2018-03-01,764,39,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2018-04-01,1090,51,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2018-05-01,732,18,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2018-06-01,1003,46,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2018-07-01,1188,59,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2018-08-01,1569,75,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2018-09-01,913,67,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2018-10-01,600,27,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2018-11-01,4846,43,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2018-12-01,912,59,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2019-01-01,1091,72,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2019-02-01,1381,56,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2019-03-01,850,39,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2019-04-01,608,21,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2019-05-01,582,23,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2019-06-01,3315,65,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2019-07-01,3894,114,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2019-08-01,772,39,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2019-09-01,570,32,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2019-10-01,1056,41,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2019-11-01,5770,76,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2019-12-01,4345,92,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2020-01-01,4643,124,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2020-02-01,4259,114,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2020-03-01,4399,101,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2020-04-01,3960,80,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2020-05-01,5015,170,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2020-06-01,3955,88,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2020-07-01,5812,203,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2020-08-01,4844,185,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2020-09-01,3334,71,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2020-10-01,3075,91,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2020-11-01,5735,129,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2020-12-01,5823,151,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2021-01-01,6267,175,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2021-02-01,4150,104,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2021-03-01,3443,90,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2021-04-01,3204,98,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2021-05-01,3057,77,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2021-06-01,4734,133,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2021-07-01,7060,255,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2021-08-01,7120,234,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2021-09-01,4254,135,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2021-10-01,3871,135,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2021-11-01,6880,186,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2021-12-01,6602,254,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2022-01-01,6876,222,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2022-02-01,5753,227,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2022-03-01,5248,175,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2022-04-01,3972,152,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2022-05-01,7263,350,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2022-06-01,5620,214,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2022-07-01,6344,238,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2022-08-01,4313,148,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2022-09-01,3215,86,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2022-10-01,3450,139,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2022-11-01,6837,201,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2022-12-01,6049,233,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2023-01-01,6757,232,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2023-02-01,4245,145,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2023-03-01,4548,179,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2023-04-01,3863,143,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2023-05-01,3123,130,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
2023-06-01,3402,135,Metroidvania|Souls-like|Platformer|Great Soundtrack|2D
