Date,Positive_Reviews,Negative_Reviews,Top_Tags
2014-07-01,1,30,Hack and Slash|Action|RPG|Arcade|Co-op
2014-08-01,142,868,Hack and Slash|Action|RPG|Arcade|Co-op
2014-09-01,7,29,Hack and Slash|Action|RPG|Arcade|Co-op
2014-10-01,1,29,Hack and Slash|Action|RPG|Arcade|Co-op
2014-11-01,4,13,Hack and Slash|Action|RPG|Arcade|Co-op
2014-12-01,8,21,Hack and Slash|Action|RPG|Arcade|Co-op
2015-01-01,1,9,Hack and Slash|Action|RPG|Arcade|Co-op
2015-02-01,1,9,Hack and Slash|Action|RPG|Arcade|Co-op
2015-03-01,0,4,Hack and Slash|Action|RPG|Arcade|Co-op
2015-04-01,0,14,Hack and Slash|Action|RPG|Arcade|Co-op
2015-05-01,4,8,Hack and Slash|Action|RPG|Arcade|Co-op
2015-06-01,6,17,Hack and Slash|Action|RPG|Arcade|Co-op
2015-07-01,6,9,Hack and Slash|Action|RPG|Arcade|Co-op
2015-08-01,2,5,Hack and Slash|Action|RPG|Arcade|Co-op
2015-09-01,1,7,Hack and Slash|Action|RPG|Arcade|Co-op
2015-10-01,31,57,Hack and Slash|Action|RPG|Arcade|Co-op
2015-11-01,8,18,Hack and Slash|Action|RPG|Arcade|Co-op
2015-12-01,11,9,Hack and Slash|Action|RPG|Arcade|Co-op
2016-01-01,6,15,Hack and Slash|Action|RPG|Arcade|Co-op
2016-02-01,4,10,Hack and Slash|Action|RPG|Arcade|Co-op
2016-03-01,1,8,Hack and Slash|Action|RPG|Arcade|Co-op
2016-04-01,4,7,Hack and Slash|Action|RPG|Arcade|Co-op
2016-05-01,2,7,Hack and Slash|Action|RPG|Arcade|Co-op
2016-06-01,5,10,Hack and Slash|Action|RPG|Arcade|Co-op
2016-07-01,6,13,Hack and Slash|Action|RPG|Arcade|Co-op
2016-08-01,2,9,Hack and Slash|Action|RPG|Arcade|Co-op
2016-09-01,1,4,Hack and Slash|Action|RPG|Arcade|Co-op
2016-10-01,10,14,Hack and Slash|Action|RPG|Arcade|Co-op
2016-11-01,5,10,Hack and Slash|Action|RPG|Arcade|Co-op
2016-12-01,3,8,Hack and Slash|Action|RPG|Arcade|Co-op
2017-01-01,9,10,Hack and Slash|Action|RPG|Arcade|Co-op
2017-02-01,2,5,Hack and Slash|Action|RPG|Arcade|Co-op
2017-03-01,5,4,Hack and Slash|Action|RPG|Arcade|Co-op
2017-04-01,9,5,Hack and Slash|Action|RPG|Arcade|Co-op
2017-05-01,3,5,Hack and Slash|Action|RPG|Arcade|Co-op
2017-06-01,22,12,Hack and Slash|Action|RPG|Arcade|Co-op
2017-07-01,4,11,Hack and Slash|Action|RPG|Arcade|Co-op
2017-08-01,5,8,Hack and Slash|Action|RPG|Arcade|Co-op
2017-09-01,4,1,Hack and Slash|Action|RPG|Arcade|Co-op
2017-10-01,9,14,Hack and Slash|Action|RPG|Arcade|Co-op
2017-11-01,3,11,Hack and Slash|Action|RPG|Arcade|Co-op
2017-12-01,7,8,Hack and Slash|Action|RPG|Arcade|Co-op
2018-01-01,6,8,Hack and Slash|Action|RPG|Arcade|Co-op
2018-02-01,7,4,Hack and Slash|Action|RPG|Arcade|Co-op
2018-03-01,1,6,Hack and Slash|Action|RPG|Arcade|Co-op
2018-04-01,1,1,Hack and Slash|Action|RPG|Arcade|Co-op
2018-05-01,2,2,Hack and Slash|Action|RPG|Arcade|Co-op
2018-06-01,2,1,Hack and Slash|Action|RPG|Arcade|Co-op
2018-07-01,2,4,Hack and Slash|Action|RPG|Arcade|Co-op
2018-08-01,2,4,Hack and Slash|Action|RPG|Arcade|Co-op
2018-09-01,0,2,Hack and Slash|Action|RPG|Arcade|Co-op
2018-10-01,4,7,Hack and Slash|Action|RPG|Arcade|Co-op
2018-11-01,3,8,Hack and Slash|Action|RPG|Arcade|Co-op
2018-12-01,3,4,Hack and Slash|Action|RPG|Arcade|Co-op
2019-01-01,5,3,Hack and Slash|Action|RPG|Arcade|Co-op
2019-02-01,4,2,Hack and Slash|Action|RPG|Arcade|Co-op
2019-03-01,3,2,Hack and Slash|Action|RPG|Arcade|Co-op
2019-04-01,1,3,Hack and Slash|Action|RPG|Arcade|Co-op
2019-05-01,3,2,Hack and Slash|Action|RPG|Arcade|Co-op
2019-06-01,5,1,Hack and Slash|Action|RPG|Arcade|Co-op
2019-07-01,4,4,Hack and Slash|Action|RPG|Arcade|Co-op
2019-08-01,2,4,Hack and Slash|Action|RPG|Arcade|Co-op
2019-09-01,0,1,Hack and Slash|Action|RPG|Arcade|Co-op
2019-10-01,0,4,Hack and Slash|Action|RPG|Arcade|Co-op
2019-11-01,1,3,Hack and Slash|Action|RPG|Arcade|Co-op
2019-12-01,3,3,Hack and Slash|Action|RPG|Arcade|Co-op
2020-01-01,1,0,Hack and Slash|Action|RPG|Arcade|Co-op
2020-02-01,2,1,Hack and Slash|Action|RPG|Arcade|Co-op
