Date,Price
2015-11-09,565
2015-11-26,141
2015-12-01,565
2015-12-23,141
2016-01-05,565
2016-02-06,141
2016-02-13,565
2016-04-04,479
2016-06-24,119
2016-07-04,479
2016-10-15,119
2016-10-17,479
2016-11-24,119
2016-12-01,479
2016-12-23,119
2017-01-02,479
2017-04-03,119
2017-04-10,479
2017-06-05,119
2017-06-12,479
2017-06-23,119
2017-07-05,479
2017-08-14,141
2017-08-21,479
2017-10-12,113
2017-10-17,479
2017-11-23,95
2017-11-28,479
2017-12-22,95
2018-01-05,479
2018-02-15,95
2018-02-20,479
2018-06-22,119
2018-07-05,479
2018-10-25,119
2018-10-29,479
2018-11-22,120
2018-11-28,479
2018-12-21,119
2019-01-04,479
2019-02-05,119
2019-02-12,479
2019-03-18,141
2019-03-19,119
2019-03-26,479
2019-06-26,119
2019-07-10,479
2019-11-27,119
2019-12-03,479
2019-12-19,119
2020-01-02,479
2020-01-23,119
2020-01-28,479
2020-05-18,119
2020-05-25,479
2020-06-25,119
2020-07-09,479
2020-09-17,119
2020-09-21,479
2020-10-05,119
2020-10-12,479
2020-11-25,119
2020-12-01,479
2020-12-23,119
2021-01-06,479
2021-02-01,119
2021-02-08,479
2021-02-11,119
2021-02-16,479
2021-03-25,141
2021-03-25,119
2021-03-29,479
2021-05-10,119
2021-05-17,479
2021-06-24,119
2021-07-08,479
2021-09-06,119
2021-09-13,479
2021-09-16,119
2021-09-23,479
2021-11-24,119
2021-11-24,119
2021-12-01,479
2021-12-22,119
2021-12-22,119
2022-01-06,479
2022-01-27,119
2022-02-03,479
2022-02-07,119
2022-02-14,479
2022-05-09,119
2022-05-16,479
2022-06-23,119
2022-06-23,119
2022-07-07,479
2022-08-11,119
2022-08-18,479
2022-11-22,119
2022-11-29,479
2022-12-22,119
2023-01-05,479
2023-01-09,119
2023-01-16,479
2023-03-16,119
2023-03-23,479
2023-04-12,565
2023-04-12,479
2023-05-08,119
2023-05-15,479
2023-06-29,119
2023-07-13,479
2023-08-10,119
2023-08-17,479
2023-11-21,119
2023-11-28,479
2023-12-22,119
2024-01-05,479
2024-01-08,119
2024-01-15,479
2024-03-14,119
2024-03-21,479
2024-05-13,119
2024-05-20,479
2024-06-27,119
2024-07-11,479
2024-08-01,119
2024-08-15,479
2024-11-11,119
2024-11-18,479
2024-11-27,119
2024-12-04,479
2024-12-20,119
2025-01-03,479
2025-02-10,119
2025-02-17,479
2025-03-13,119
2025-03-20,479
2025-05-12,119
2025-05-19,479
2025-06-19,119
2025-07-10,479
2025-08-01,119
2025-08-08,479
2025-09-22,119
2025-10-06,479
2025-12-11,119
2026-01-05,479
2026-01-26,119
2026-02-09,479
2026-03-12,119
2026-03-26,479
2026-04-25,95
2026-04-29,95
