Date,Positive_Reviews,Negative_Reviews,Top_Tags
2023-08-01,678,440,Open World|Character Customization|Action|Co-op|Crime
2023-09-01,329,165,Open World|Character Customization|Action|Co-op|Crime
2023-10-01,71,38,Open World|Character Customization|Action|Co-op|Crime
2023-11-01,255,66,Open World|Character Customization|Action|Co-op|Crime
2023-12-01,160,110,Open World|Character Customization|Action|Co-op|Crime
2024-01-01,153,96,Open World|Character Customization|Action|Co-op|Crime
2024-02-01,91,52,Open World|Character Customization|Action|Co-op|Crime
2024-03-01,205,176,Open World|Character Customization|Action|Co-op|Crime
2024-04-01,104,67,Open World|Character Customization|Action|Co-op|Crime
2024-05-01,57,46,Open World|Character Customization|Action|Co-op|Crime
2024-06-01,88,45,Open World|Character Customization|Action|Co-op|Crime
2024-07-01,58,53,Open World|Character Customization|Action|Co-op|Crime
2024-08-01,84,40,Open World|Character Customization|Action|Co-op|Crime
2024-09-01,52,40,Open World|Character Customization|Action|Co-op|Crime
2024-10-01,36,31,Open World|Character Customization|Action|Co-op|Crime
2024-11-01,41,33,Open World|Character Customization|Action|Co-op|Crime
2024-12-01,79,51,Open World|Character Customization|Action|Co-op|Crime
2025-01-01,73,39,Open World|Character Customization|Action|Co-op|Crime
2025-02-01,34,24,Open World|Character Customization|Action|Co-op|Crime
2025-03-01,114,65,Open World|Character Customization|Action|Co-op|Crime
2025-04-01,32,27,Open World|Character Customization|Action|Co-op|Crime
2025-05-01,32,22,Open World|Character Customization|Action|Co-op|Crime
2025-06-01,59,42,Open World|Character Customization|Action|Co-op|Crime
2025-07-01,62,44,Open World|Character Customization|Action|Co-op|Crime
2025-08-01,30,21,Open World|Character Customization|Action|Co-op|Crime
2025-09-01,40,28,Open World|Character Customization|Action|Co-op|Crime
2025-10-01,60,45,Open World|Character Customization|Action|Co-op|Crime
2025-11-01,54,37,Open World|Character Customization|Action|Co-op|Crime
2025-12-01,56,34,Open World|Character Customization|Action|Co-op|Crime
2026-01-01,84,61,Open World|Character Customization|Action|Co-op|Crime
2026-02-01,43,31,Open World|Character Customization|Action|Co-op|Crime
2026-03-01,68,29,Open World|Character Customization|Action|Co-op|Crime
2026-04-01,52,39,Open World|Character Customization|Action|Co-op|Crime
