Date,Price
2015-11-04,259
2015-11-26,64
2015-12-01,259
2015-12-14,54
2015-12-21,259
2015-12-23,31
2016-01-05,259
2016-02-06,25
2016-02-13,259
2016-02-15,25
2016-02-22,259
2016-04-18,25
2016-04-25,259
2016-06-20,25
2016-06-27,259
2016-08-22,173
2016-08-29,259
2016-10-29,38
2016-11-02,259
2016-11-07,38
2016-11-14,259
2016-11-24,38
2016-12-01,259
2016-12-23,38
2017-01-03,259
2017-01-09,38
2017-01-16,259
2017-03-13,25
2017-03-20,259
2017-05-29,38
2017-06-05,259
2017-06-23,38
2017-07-06,259
2017-09-18,38
2017-09-25,259
2017-10-26,38
2017-11-01,259
2017-11-23,39
2017-11-28,259
2017-12-22,39
2018-01-05,259
2018-03-05,38
2018-03-12,259
2018-05-07,38
2018-05-14,259
2018-06-22,38
2018-07-05,259
2018-07-30,38
2018-08-06,259
2018-10-01,38
2018-10-08,259
2018-11-22,38
2018-11-28,259
2018-12-21,39
2019-01-04,259
2019-01-08,38
2019-01-15,259
2019-02-05,38
2019-02-12,259
2019-03-18,38
2019-03-26,259
2019-05-20,38
2019-05-27,259
2019-06-26,38
2019-07-10,259
2019-07-18,38
2019-07-22,259
2019-08-19,38
2019-08-26,259
2019-10-21,38
2019-10-28,259
2019-11-26,38
2019-12-03,259
2019-12-19,38
2020-01-02,259
2020-01-23,38
2020-01-28,259
2020-02-24,38
2020-03-02,259
2020-05-11,38
2020-05-18,259
2020-06-25,38
2020-07-09,259
2020-11-25,38
2020-12-01,259
2020-12-23,38
2021-01-06,259
2021-02-11,38
2021-02-16,259
2021-03-15,64
2021-03-22,259
2021-05-24,77
2021-05-31,259
2021-06-24,64
2021-07-08,259
2021-09-13,31
2021-09-20,259
2021-10-28,38
2021-11-01,259
2021-11-24,38
2021-11-24,259
2021-11-24,38
2021-12-01,259
2021-12-22,38
2021-12-22,38
2022-01-06,259
2022-01-27,25
2022-02-03,259
2022-06-23,28
2022-07-07,259
2026-04-29,259
